$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;HDS001;LA001;LAPTOP-ACCESSORIES;Bundle to Bundle Component Relationship,HDS001,,BundleComponent,,true,true,true,false,,,LA001,Bundle,,LAPTOP-ACCESSORIES,Bundle to Bundle Component Relationship,1,Proportional,,,
;KB001;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,KB001,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,4,
;LBG001;LA001;LAPTOP-ACCESSORIES;Bundle to Bundle Component Relationship,LBG001,,BundleComponent,,true,true,true,false,,,LA001,Bundle,,LAPTOP-ACCESSORIES,Bundle to Bundle Component Relationship,1,Proportional,,,
;LBG001;LB001;LAPTOP;Bundle to Bundle Component Relationship,LBG001,,BundleComponent,,false,false,false,false,,,LB001,Bundle,,LAPTOP,Bundle to Bundle Component Relationship,1,Proportional,,,
;LBG001;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,LBG001,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,2,
;LLMCERT001;CERT007;;Bundle to Bundle Component Relationship,LLMCERT001,,BundleComponent,Term Based - Yearly;TermDefined,true,true,true,false,,,CERT007,Bundle,Term Based - Yearly;TermDefined,,Bundle to Bundle Component Relationship,1,Proportional,,,
;LLMTRG001;ATRG001;TRAININGS;Bundle to Bundle Component Relationship,LLMTRG001,,BundleComponent,,true,true,true,false,,,ATRG001,Bundle,,TRAININGS,Bundle to Bundle Component Relationship,1,Proportional,,,
;LP001;LB001;LAPTOP;Bundle to Bundle Component Relationship,LP001,,BundleComponent,,true,true,true,false,,,LB001,Bundle,,LAPTOP,Bundle to Bundle Component Relationship,1,Proportional,,,
;LP001;LPB001;LAPTOP-2;Bundle to Bundle Component Relationship,LP001,,BundleComponent,,true,true,true,false,,,LPB001,Bundle,,LAPTOP-2,Bundle to Bundle Component Relationship,1,Proportional,,,
;LP001;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,LP001,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,1,
;LPST001;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,LPST001,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,3,
;MOU001;LPB001;ACCESSORIES;Bundle to Bundle Component Relationship,MOU001,,BundleComponent,,true,false,true,false,,,LPB001,Bundle,,ACCESSORIES,Bundle to Bundle Component Relationship,1,Proportional,,,
;MOU001;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,MOU001,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,5,
;NCH025;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,NCH025,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,9,
;OF001;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,OF001,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,6,
;PB001;LPB001;ACCESSORIES;Bundle to Bundle Component Relationship,PB001,,BundleComponent,,false,false,false,false,,,LPB001,Bundle,,ACCESSORIES,Bundle to Bundle Component Relationship,1,Constant,,,
;PCERT001;SDP001;SKILL-DEVELOPMENT;Bundle to Bundle Component Relationship,PCERT001,,BundleComponent,,false,false,false,false,,,SDP001,Bundle,,SKILL-DEVELOPMENT,Bundle to Bundle Component Relationship,1,Proportional,,,
;PP001;PB001;PRINTER-ACCESSORIES;Bundle to Bundle Component Relationship,PP001,,BundleComponent,,false,true,true,true,,,PB001,Bundle,,PRINTER-ACCESSORIES,Bundle to Bundle Component Relationship,1,Proportional,,,
;PRN001;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,PRN001,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,7,
;PRN001;PB001;PRINTER;Bundle to Bundle Component Relationship,PRN001,,BundleComponent,,true,true,true,false,,,PB001,Bundle,,PRINTER,Bundle to Bundle Component Relationship,1,Proportional,,,
;PUP001A45;KTC677R;COMPOUND-GROUP;Bundle to Bundle Component Relationship,PUP001A45,,BundleComponent,,true,true,true,false,,,KTC677R,Bundle,,COMPOUND-GROUP,Bundle to Bundle Component Relationship,1.55,Proportional,,1,GRAMS
;PVS9876;EAS098781A;ANALYTICS;Bundle to Bundle Component Relationship,PVS9876,,BundleComponent,,true,false,true,false,,,EAS098781A,Bundle,,ANALYTICS,Bundle to Bundle Component Relationship,1,Proportional,Always,2,
;SBP10907;EAS098781A;ANALYTICS;Bundle to Bundle Component Relationship,SBP10907,,BundleComponent,,true,false,true,false,,,EAS098781A,Bundle,,ANALYTICS,Bundle to Bundle Component Relationship,1,Proportional,Always,3,
;SDP001;ATRG001;TRAININGS;Bundle to Bundle Component Relationship,SDP001,,BundleComponent,,false,false,false,false,,,ATRG001,Bundle,,TRAININGS,Bundle to Bundle Component Relationship,1,Proportional,,,
;SP001;LCP001;LAPTOP-CARE;Bundle to Bundle Component Relationship,SP001,,BundleComponent,,false,true,true,false,,,LCP001,Bundle,,LAPTOP-CARE,Bundle to Bundle Component Relationship,1,Proportional,,,
;TIM12367;TIMB893AB45;TIMF998A32;Bundle to Bundle Component Relationship,TIM12367,,BundleComponent,,true,true,true,false,,,TIMB893AB45,Bundle,,TIMF998A32,Bundle to Bundle Component Relationship,3.78,Proportional,,2,LITRE
;TIM235A7;TIMB893AB45;TIMF998A32;Bundle to Bundle Component Relationship,TIM235A7,,BundleComponent,,true,true,true,false,,,TIMB893AB45,Bundle,,TIMF998A32,Bundle to Bundle Component Relationship,8.25,Proportional,,1,LITRE
;TIM67542E;TIMB893AB45;TIMF998A32;Bundle to Bundle Component Relationship,TIM67542E,,BundleComponent,,true,true,true,false,,,TIMB893AB45,Bundle,,TIMF998A32,Bundle to Bundle Component Relationship,2.56,Proportional,,3,LITRE
;TPP01;ATRG001;TRAININGS;Bundle to Bundle Component Relationship,TPP01,,BundleComponent,,true,true,true,false,,,ATRG001,Bundle,,TRAININGS,Bundle to Bundle Component Relationship,1,Proportional,,,
;TRG001;LCP001;LAPTOP-CARE;Bundle to Bundle Component Relationship,TRG001,,BundleComponent,,false,true,true,false,,,LCP001,Bundle,,LAPTOP-CARE,Bundle to Bundle Component Relationship,1,Proportional,,,
;TRG001;TPP01;TRAINING-GROUP;Bundle to Bundle Component Relationship,TRG001,,BundleComponent,,true,true,true,false,,,TPP01,Bundle,,TRAINING-GROUP,Bundle to Bundle Component Relationship,1,Proportional,,,
;UA001;TPP01;TRAINING-GROUP;Bundle to Bundle Component Relationship,UA001,,BundleComponent,,true,true,true,false,,,TPP01,Bundle,,TRAINING-GROUP,Bundle to Bundle Component Relationship,1,Proportional,,,
;USB01;LA001;LAPTOP-ACCESSORIES;Bundle to Bundle Component Relationship,USB01,,BundleComponent,,true,true,true,false,,,LA001,Bundle,,LAPTOP-ACCESSORIES,Bundle to Bundle Component Relationship,1,Proportional,,,
;USB01;LPB001-2;MEGA-PACKAGE;Bundle to Bundle Component Relationship,USB01,,BundleComponent,,true,true,true,false,,,LPB001-2,Bundle,,MEGA-PACKAGE,Bundle to Bundle Component Relationship,1,Proportional,,8,
;VIL8899089;KTC677R;COMPOUND-GROUP;Bundle to Bundle Component Relationship,VIL8899089,,BundleComponent,,true,true,true,false,,,KTC677R,Bundle,,COMPOUND-GROUP,Bundle to Bundle Component Relationship,2.55,Proportional,,2,GRAMS
;W001;LCP001;LAPTOP-CARE;Bundle to Bundle Component Relationship,W001,,BundleComponent,,false,true,true,false,,,LCP001,Bundle,,LAPTOP-CARE,Bundle to Bundle Component Relationship,1,Proportional,,,
;W001;LPB001;ACCESSORIES;Bundle to Bundle Component Relationship,W001,,BundleComponent,,false,false,false,false,,,LPB001,Bundle,,ACCESSORIES,Bundle to Bundle Component Relationship,1,Proportional,,,
SFT001;;LPB001;SFT001;Bundle to Product Classification Component Relationship,,SFT001,ClassificationComponent,,false,false,false,true,,,LPB001,Bundle,,SFT001,Bundle to Product Classification Component Relationship,1,,,,
