Name,Status,PeriodStartDate,SalesAgreementRevenue,SalesAgreementQuantity,OrderRevenue,OrderQuantity,OpportunityRevenue,OpportunityQuantity,LastYearOrderRevenue,LastYearOrderQuantity,ForecastedRevenue,ForecastedQuantity,Account_Manager_Forecasted_Revenue__c,Account_Manager_Forecasted_Quantity__c,AdvAcctForecastSetPartner.Name,Period.FullyQualifiedLabel,PeriodId,Product.StockKeepingUnit,ProductId,Category__r.Code,Category__c,CategoryId,Account.Name
Acetone (ACET-50) - 200L DrumFQ2 FY 2025,Active,#N/A,1245,382665,5562,897873,6343,823217,3808,527371,4507,657079,5933,765355,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,ACET-50-200L,01tO500000bAxrwIAC,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
Acrylic Resin (AR-300) - 200KG DrumFQ2 FY 2025,Active,#N/A,7143,678777,8180,600443,4976,33973,4118,540526,5415.333333,424501.666667,4127,560755,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,AR-300-200KG-DR,01tO500000bAxs2IAC,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Corrosion Inhibitor (CI-3000) - 200L DrumFQ2 FY 2025,Active,#N/A,1336,164373,2494,314356,2624,303055,3960,998939,3822,327314.333333,7506,514515,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,CI-3000-200L,01tO500000bAxsHIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Defoamer (DF-4000) - 200L DrumFQ2 FY 2025,Active,#N/A,4296,335629,8774,414990,9731,506635,5725,636489,5329.333333,363587.666667,1961,248499,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,DF-4000-200L,01tO500000bAxsLIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Epoxy Resin (EPX-500) - 200KG DrumFQ2 FY 2025,Active,#N/A,6864,178054,8000,440869,3815,886089,1144,515846,4002.666667,673960.666667,1329,957739,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,EPX-500-200KG,01tO500000bAxsQIAS,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Sulfuric Acid (H2SO4) - 200L Drum FQ2 FY 2025,Active,#N/A,4828,603981,4201,366795,7446,200387,3280,445895,4698.333333,371875.333333,1821,311258,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,H2SO4-200L-DR,01tO500000bB2igIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Sodium Hydroxide (NaOH) - 50KG BagFQ2 FY 2025,Active,#N/A,7155,990335,1497,78304,4527,599559,3531,461544,5551.333333,612837,4972,248617,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,NaOH-50KG,01tO500000bB2ipIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Ammonia (NH3) - CYL FQ2 FY 2025,Active,#N/A,3534,745059,3645,984867,1919,696426,8482,634048,3569,587661.333333,5254,321499,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,NH3-CYL,01tO500000bB2iqIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Toluene (TOL-100) - 200L DrumFQ2 FY 2025,Active,#N/A,6973,735700,7272,733537,8467,135973,3750,374763,5526.666667,341397.333333,1140,152519,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,TOL-100-200L,01tO500000bB2jHIAS,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
UV Stabilizer (UV-2000) - 25KG BagFQ2 FY 2025,Active,#N/A,9225,900218,8143,658701,3329,643893,7906,638707,6729.333333,629949,7634,345736,Acme Forecast,FQ2 FY 2025,026O5000002Z16qIAC,UV-2000-25KG,01tO500000bB2jJIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Acetone (ACET-50) - 200L DrumFQ3 FY 2025,Active,#N/A,9510,37017,6283,592176,3365,53606,9711,425116,5529.666667,310380,3714,840517,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,ACET-50-200L,01tO500000bAxrwIAC,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
Acrylic Resin (AR-300) - 200KG DrumFQ3 FY 2025,Active,#N/A,9217,216166,4786,615944,8785,219012,8311,364775,9302,400607,9904,766643,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,AR-300-200KG-DR,01tO500000bAxs2IAC,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Corrosion Inhibitor (CI-3000) - 200L DrumFQ3 FY 2025,Active,#N/A,8846,674069,2892,372615,6216,26533,6814,231993,6925.333333,550723.333333,5714,951568,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,CI-3000-200L,01tO500000bAxsHIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Defoamer (DF-4000) - 200L DrumFQ3 FY 2025,Active,#N/A,3731,911413,5791,258548,4825,239269,3915,265448,6167,715725.666667,9945,996495,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,DF-4000-200L,01tO500000bAxsLIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Epoxy Resin (EPX-500) - 200KG DrumFQ3 FY 2025,Active,#N/A,6729,889493,9619,749484,2308,429602,1796,424609,4815.333333,544580.333333,5409,314646,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,EPX-500-200KG,01tO500000bAxsQIAS,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Sulfuric Acid (H2SO4) - 200L Drum FQ3 FY 2025,Active,#N/A,7400,672139,9648,343671,4089,683440,7526,647607,5015.333333,646616.333333,3557,584270,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,H2SO4-200L-DR,01tO500000bB2igIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Sodium Hydroxide (NaOH) - 50KG BagFQ3 FY 2025,Active,#N/A,6144,355816,1900,257071,3004,65044,4232,273733,5707.333333,201604.666667,7974,183954,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,NaOH-50KG,01tO500000bB2ipIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Ammonia (NH3) - CYL FQ3 FY 2025,Active,#N/A,2580,736653,1577,114127,8653,818306,2782,244985,5864.333333,787649.333333,6360,807989,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,NH3-CYL,01tO500000bB2iqIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Toluene (TOL-100) - 200L DrumFQ3 FY 2025,Active,#N/A,8365,382253,5378,889317,5059,238147,4570,143173,5501.333333,459591,3080,758373,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,TOL-100-200L,01tO500000bB2jHIAS,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
UV Stabilizer (UV-2000) - 25KG BagFQ3 FY 2025,Active,#N/A,3245,695874,3183,898309,8486,343972,7292,533278,5444,529559.333333,4601,548832,Acme Forecast,FQ3 FY 2025,026O5000002Z16rIAC,UV-2000-25KG,01tO500000bB2jJIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Acetone (ACET-50) - 200L DrumFQ4 FY 2025,Active,#N/A,4794,315684,7561,89494,9788,734793,5373,347330,7068.333333,441019.666667,6623,272582,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,ACET-50-200L,01tO500000bAxrwIAC,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
Acrylic Resin (AR-300) - 200KG DrumFQ4 FY 2025,Active,#N/A,8706,574441,8923,492712,3083,768205,8113,557353,5260.333333,643518.333333,3992,587909,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,AR-300-200KG-DR,01tO500000bAxs2IAC,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Corrosion Inhibitor (CI-3000) - 200L DrumFQ4 FY 2025,Active,#N/A,6031,999515,7538,549476,8867,960617,4835,720881,6067,800340,3303,440888,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,CI-3000-200L,01tO500000bAxsHIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Defoamer (DF-4000) - 200L DrumFQ4 FY 2025,Active,#N/A,6058,248990,4370,963606,4511,863270,3256,516574,6695.666667,692639,9518,965657,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,DF-4000-200L,01tO500000bAxsLIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Epoxy Resin (EPX-500) - 200KG DrumFQ4 FY 2025,Active,#N/A,4083,461852,1706,681986,2184,655069,1900,76192,4686.666667,557463.333333,7793,555469,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,EPX-500-200KG,01tO500000bAxsQIAS,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Sulfuric Acid (H2SO4) - 200L Drum FQ4 FY 2025,Active,#N/A,6768,405337,1940,190221,1052,527094,1566,212370,4273.666667,491825.666667,5001,543046,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,H2SO4-200L-DR,01tO500000bB2igIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Sodium Hydroxide (NaOH) - 50KG BagFQ4 FY 2025,Active,#N/A,4216,329995,9014,436789,5260,969499,8181,484716,3729.666667,642856,1713,629074,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,NaOH-50KG,01tO500000bB2ipIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Ammonia (NH3) - CYL FQ4 FY 2025,Active,#N/A,8608,748025,5750,258738,3438,366058,2508,545529,6313.666667,614899.333333,6895,730615,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,NH3-CYL,01tO500000bB2iqIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Toluene (TOL-100) - 200L DrumFQ4 FY 2025,Active,#N/A,8428,115425,7331,291005,6029,784159,5001,441770,5325.333333,561117,1519,783767,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,TOL-100-200L,01tO500000bB2jHIAS,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
UV Stabilizer (UV-2000) - 25KG BagFQ4 FY 2025,Active,#N/A,4868,211362,7347,914801,3824,641495,5155,204345,4937.333333,503608.666667,6120,657969,Acme Forecast,FQ4 FY 2025,026O5000002Z16sIAC,UV-2000-25KG,01tO500000bB2jJIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Acetone (ACET-50) - 200L DrumFQ1 FY 2026,Active,#N/A,3681,846434,5982,987175,6618,232868,4744,141570,6689.333333,690890.333333,9769,993369,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,ACET-50-200L,01tO500000bAxrwIAC,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
Acrylic Resin (AR-300) - 200KG DrumFQ1 FY 2026,Active,#N/A,4370,309142,2133,555103,5616,391601,3479,360456,5266,264062.666667,5812,91445,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,AR-300-200KG-DR,01tO500000bAxs2IAC,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Corrosion Inhibitor (CI-3000) - 200L DrumFQ1 FY 2026,Active,#N/A,3214,391431,2850,434470,9913,658441,4136,201451,6345.333333,501688.333333,5909,455193,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,CI-3000-200L,01tO500000bAxsHIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Defoamer (DF-4000) - 200L DrumFQ1 FY 2026,Active,#N/A,3674,49935,9275,641668,9172,163016,8433,75856,4814,184761.333333,1596,341333,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,DF-4000-200L,01tO500000bAxsLIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Epoxy Resin (EPX-500) - 200KG DrumFQ1 FY 2026,Active,#N/A,2378,559956,9605,58068,1121,54973,8194,280941,3841.333333,310591.666667,8025,316846,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,EPX-500-200KG,01tO500000bAxsQIAS,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Sulfuric Acid (H2SO4) - 200L Drum FQ1 FY 2026,Active,#N/A,7508,313191,5062,792263,1477,657970,2722,66443,4962.333333,378086.333333,5902,163098,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,H2SO4-200L-DR,01tO500000bB2igIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Sodium Hydroxide (NaOH) - 50KG BagFQ1 FY 2026,Active,#N/A,8216,770363,2354,767675,1200,941235,4594,237740,5093,632073.333333,5863,184622,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,NaOH-50KG,01tO500000bB2ipIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Ammonia (NH3) - CYL FQ1 FY 2026,Active,#N/A,8647,541595,8040,91012,1235,678044,6707,873558,5002,417179.333333,5124,31899,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,NH3-CYL,01tO500000bB2iqIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Toluene (TOL-100) - 200L DrumFQ1 FY 2026,Active,#N/A,6396,674671,6702,463126,1444,563648,1201,264328,3109.666667,627631.333333,1489,644575,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,TOL-100-200L,01tO500000bB2jHIAS,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
UV Stabilizer (UV-2000) - 25KG BagFQ1 FY 2026,Active,#N/A,7999,106570,9786,614404,2643,879853,5804,729286,4811.333333,533678.666667,3792,614613,Acme Forecast,FQ1 FY 2026,026O5000002Z176IAC,UV-2000-25KG,01tO500000bB2jJIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Acetone (ACET-50) - 200L DrumFQ2 FY 2026,Active,#N/A,6425,68199,9706,455525,2783,79804,1370,396817,0,0,4026,313216,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,ACET-50-200L,01tO500000bAxrwIAC,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
Acrylic Resin (AR-300) - 200KG DrumFQ2 FY 2026,Active,#N/A,7535,924592,9841,760592,9600,611252,1982,426219,0,0,9641,633589,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,AR-300-200KG-DR,01tO500000bAxs2IAC,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Corrosion Inhibitor (CI-3000) - 200L DrumFQ2 FY 2026,Active,#N/A,2864,418182,2605,202908,1700,267321,6573,347974,0,0,6466,194315,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,CI-3000-200L,01tO500000bAxsHIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Defoamer (DF-4000) - 200L DrumFQ2 FY 2026,Active,#N/A,3549,374351,6137,549373,2097,966347,6589,637230,0,0,4775,515665,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,DF-4000-200L,01tO500000bAxsLIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Epoxy Resin (EPX-500) - 200KG DrumFQ2 FY 2026,Active,#N/A,2581,947354,4894,417566,3003,275441,5335,222085,0,0,3856,216886,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,EPX-500-200KG,01tO500000bAxsQIAS,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Sulfuric Acid (H2SO4) - 200L Drum FQ2 FY 2026,Active,#N/A,3523,392109,5644,881828,3941,589696,2085,750823,0,0,8079,208937,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,H2SO4-200L-DR,01tO500000bB2igIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Sodium Hydroxide (NaOH) - 50KG BagFQ2 FY 2026,Active,#N/A,1302,541203,5787,40418,7723,110442,1106,33583,0,0,6636,573935,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,NaOH-50KG,01tO500000bB2ipIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Ammonia (NH3) - CYL FQ2 FY 2026,Active,#N/A,3701,436566,4464,286512,4394,109836,6536,833080,0,0,4951,760944,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,NH3-CYL,01tO500000bB2iqIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Toluene (TOL-100) - 200L DrumFQ2 FY 2026,Active,#N/A,6626,517554,8696,309752,7433,320158,8057,132920,0,0,8769,285098,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,TOL-100-200L,01tO500000bB2jHIAS,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
UV Stabilizer (UV-2000) - 25KG BagFQ2 FY 2026,Active,#N/A,9531,392376,5110,600364,8911,88790,4881,869707,0,0,7909,95169,Acme Forecast,FQ2 FY 2026,026O5000002Z177IAC,UV-2000-25KG,01tO500000bB2jJIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Acetone (ACET-50) - 200L DrumFQ3 FY 2026,Active,#N/A,2307,496168,6361,804428,2920,43073,3787,531128,0,0,3431,410199,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,ACET-50-200L,01tO500000bAxrwIAC,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
Acrylic Resin (AR-300) - 200KG DrumFQ3 FY 2026,Active,#N/A,6057,949706,1464,362695,1240,633458,9255,939392,0,0,8016,945713,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,AR-300-200KG-DR,01tO500000bAxs2IAC,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Corrosion Inhibitor (CI-3000) - 200L DrumFQ3 FY 2026,Active,#N/A,4594,623741,4747,842269,1549,277138,8477,847793,0,0,2707,824373,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,CI-3000-200L,01tO500000bAxsHIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Defoamer (DF-4000) - 200L DrumFQ3 FY 2026,Active,#N/A,2782,340066,7526,394265,1250,890855,1635,553333,0,0,2118,472430,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,DF-4000-200L,01tO500000bAxsLIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Epoxy Resin (EPX-500) - 200KG DrumFQ3 FY 2026,Active,#N/A,8565,866478,6374,128499,6580,998150,7983,98541,0,0,5540,33716,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,EPX-500-200KG,01tO500000bAxsQIAS,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Sulfuric Acid (H2SO4) - 200L Drum FQ3 FY 2026,Active,#N/A,3067,317397,5439,119558,4594,511230,2535,220759,0,0,1799,567214,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,H2SO4-200L-DR,01tO500000bB2igIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Sodium Hydroxide (NaOH) - 50KG BagFQ3 FY 2026,Active,#N/A,1913,551755,2605,293625,3150,271296,9382,297088,0,0,6514,148196,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,NaOH-50KG,01tO500000bB2ipIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Ammonia (NH3) - CYL FQ3 FY 2026,Active,#N/A,5258,41120,1666,322018,4880,254787,6113,400616,0,0,6969,310518,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,NH3-CYL,01tO500000bB2iqIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
Toluene (TOL-100) - 200L DrumFQ3 FY 2026,Active,#N/A,2999,155455,5476,749295,4453,534896,7036,804279,0,0,2158,914152,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,TOL-100-200L,01tO500000bB2jHIAS,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
UV Stabilizer (UV-2000) - 25KG BagFQ3 FY 2026,Active,#N/A,7324,774933,2813,713275,9410,298241,2013,266212,0,0,9354,789557,Acme Forecast,FQ3 FY 2026,026O5000002Z178IAC,UV-2000-25KG,01tO500000bB2jJIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Acetone (ACET-50) - 200L DrumFQ4 FY 2026,Active,#N/A,2787,236947,3134,108534,9540,973267,1662,70443,0,0,5240,614126,Acme Forecast,FQ4 FY 2026,026O5000002Z179IAC,ACET-50-200L,01tO500000bAxrwIAC,Industrial Solvents,0ZGO50000005uj9OAA,0ZGO50000005uj9OAA,Acme
Acrylic Resin (AR-300) - 200KG DrumFQ4 FY 2026,Active,#N/A,7865,137401,6587,264456,4831,754577,5929,127062,0,0,3751,507738,Acme Forecast,FQ4 FY 2026,026O5000002Z179IAC,AR-300-200KG-DR,01tO500000bAxs2IAC,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Corrosion Inhibitor (CI-3000) - 200L DrumFQ4 FY 2026,Active,#N/A,3145,408558,8729,85327,8459,710738,6976,857053,0,0,8260,873407,Acme Forecast,FQ4 FY 2026,026O5000002Z179IAC,CI-3000-200L,01tO500000bAxsHIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Defoamer (DF-4000) - 200L DrumFQ4 FY 2026,Active,#N/A,8592,583070,8297,603551,1970,903363,3767,62281,0,0,1044,633123,Acme Forecast,FQ4 FY 2026,026O5000002Z179IAC,DF-4000-200L,01tO500000bAxsLIAS,Specialty Chemicals,0ZGO50000005ujBOAQ,0ZGO50000005ujBOAQ,Acme
Epoxy Resin (EPX-500) - 200KG DrumFQ4 FY 2026,Active,#N/A,5675,265944,2236,800848,3810,307976,1299,206797,0,0,6070,888004,Acme Forecast,FQ4 FY 2026,026O5000002Z179IAC,EPX-500-200KG,01tO500000bAxsQIAS,Polymers & Resins,0ZGO50000005ujAOAQ,0ZGO50000005ujAOAQ,Acme
Sulfuric Acid (H2SO4) - 200L Drum FQ4 FY 2026,Active,#N/A,7252,405639,4471,456783,5107,202691,7147,543638,0,0,8876,768745,Acme Forecast,FQ4 FY 2026,026O5000002Z179IAC,H2SO4-200L-DR,01tO500000bB2igIAC,Base Chemicals,0ZGO50000005uj8OAA,0ZGO50000005uj8OAA,Acme
