Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Name,Sequence,Status,Value
#N/A,Language_Russian,Russian,false,Russian,Languages,12,Active,Russian
#N/A,Language_Spanish,Spanish,false,Spanish,Languages,13,Active,Spanish
#N/A,Liquid-Cooled,Liquid-Cooled,false,Liquid-Cooled,Cooling Method,2,Active,Liquid-Cooled
#N/A,Listing-UL 2200,Listing-UL 2200,false,Listing-UL 2200,standardsAndCompliance,20,Active,Listing-UL 2200
#N/A,Methanol,Methanol,false,Methanol,Fuel Type,2,Active,Methanol
#N/A,Motor Starting,Motor Starting,false,Motor Starting,SpecialApplication,20,Active,Motor Starting
#N/A,NaturalGas,Natural Gas,false,Natural Gas,Fuel Type,3,Active,Natural Gas
#N/A,None - Standard,None - Standard,true,None - Standard,SpecialApplication,10,Active,None - Standard
#N/A,One-Speed,One-Speed,true,One-Speed,Transmission,10,Active,One-Speed
#N/A,OSHPD Seismic Certification,OSHPD Seismic Certification,false,OSHPD Seismic Certification,seismicCertification,20,Active,OSHPD Seismic Certification
#N/A,Prime Power (PRP),Prime Power (PRP),false,Prime Power (PRP),DutyRating,20,Active,Prime Power (PRP)
#N/A,Two-Speed,Two-Speed,false,Two-Speed,Transmission,20,Active,Two-Speed
#N/A,UL2200,UL2200,false,UL2200,gc_certificate,2,Active,UL2200
