$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.Name,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.Name,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
#N/A;20-DP;SC-GOLD;Included Entitlements;Bundle to Bundle Component Relationship,20-DP,#N/A,BundleComponent,#N/A,true,true,true,false,#N/A,#N/A,SC-GOLD,Bundle,#N/A,Included Entitlements,Bundle to Bundle Component Relationship,1,Proportional,#N/A,10,#N/A
#N/A;414LP-KAA-CAB2;414LP-KAA-E-SSL;Cabin Options;Bundle to Bundle Component Relationship,414LP-KAA-CAB2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,414LP-KAA-E-SSL,Bundle,#N/A,Cabin Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,10,#N/A
#N/A;414LP-KAA-CAB3;414LP-KAA-E-SSL;Cabin Options;Bundle to Bundle Component Relationship,414LP-KAA-CAB3,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,414LP-KAA-E-SSL,Bundle,#N/A,Cabin Options,Bundle to Bundle Component Relationship,1,Proportional,#N/A,20,#N/A
#N/A;414LP-KAA-TT1;414LP-KAA-E-SSL;Tire Options;Bundle to Bundle Component Relationship,414LP-KAA-TT1,#N/A,BundleComponent,#N/A,true,false,true,false,#N/A,#N/A,414LP-KAA-E-SSL,Bundle,#N/A,Tire Options,Bundle to Bundle Component Relationship,4,Proportional,#N/A,10,#N/A
#N/A;414LP-KAA-TT2;414LP-KAA-E-SSL;Tire Options;Bundle to Bundle Component Relationship,414LP-KAA-TT2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,414LP-KAA-E-SSL,Bundle,#N/A,Tire Options,Bundle to Bundle Component Relationship,4,Proportional,#N/A,20,#N/A
#N/A;A030S169-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A030S169-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,228,#N/A
#N/A;A035K427-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A035K427-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,229,#N/A
#N/A;A046D218-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A046D218-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,230,#N/A
#N/A;A048N280-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A048N280-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,231,#N/A
#N/A;A051H785-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A051H785-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,232,#N/A
#N/A;A051K118-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A051K118-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,233,#N/A
#N/A;A052X578-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A052X578-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,234,#N/A
#N/A;A052X580-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A052X580-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,235,#N/A
#N/A;A052X582-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A052X582-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,236,#N/A
#N/A;A052X584-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A052X584-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,237,#N/A
#N/A;A052X586-FRD;FESBA-FRD;Accessories Main;Bundle to Bundle Component Relationship,A052X586-FRD,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Accessories Main,Bundle to Bundle Component Relationship,1,Proportional,#N/A,238,#N/A
#N/A;Civil-Engineer;FESBA-FRD;Installation;Bundle to Bundle Component Relationship,Civil-Engineer,#N/A,BundleComponent,#N/A,false,false,false,true,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Installation,Bundle to Bundle Component Relationship,8,#N/A,#N/A,2,#N/A
#N/A;DIRT-BUCKET;414LP-KAA-E-SSL;Attachments;Bundle to Bundle Component Relationship,DIRT-BUCKET,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,414LP-KAA-E-SSL,Bundle,#N/A,Attachments,Bundle to Bundle Component Relationship,1,Proportional,#N/A,20,#N/A
#N/A;Electrical-Engineer;FESBA-FRD;Installation;Bundle to Bundle Component Relationship,Electrical-Engineer,#N/A,BundleComponent,#N/A,false,false,false,true,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Installation,Bundle to Bundle Component Relationship,8,#N/A,#N/A,3,#N/A
#N/A;EW;414LP-KAA-E-SSL;SkidSteerWarranty;Bundle to Bundle Component Relationship,EW,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,414LP-KAA-E-SSL,Bundle,#N/A,SkidSteerWarranty,Bundle to Bundle Component Relationship,1,Proportional,#N/A,20,#N/A
#N/A;EW;SC-GOLD;Included Entitlements;Bundle to Bundle Component Relationship,EW,#N/A,BundleComponent,#N/A,true,true,true,false,#N/A,#N/A,SC-GOLD,Bundle,#N/A,Included Entitlements,Bundle to Bundle Component Relationship,1,Proportional,#N/A,40,#N/A
#N/A;FA-Entitlement;SC-GOLD;Optional Entitlements;Bundle to Bundle Component Relationship,FA-Entitlement,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,SC-GOLD,Bundle,#N/A,Optional Entitlements,Bundle to Bundle Component Relationship,1,#N/A,#N/A,20,#N/A
#N/A;FESBA_1200;FESBA-FRD;Model;Bundle to Bundle Component Relationship,FESBA_1200,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Model,Bundle to Bundle Component Relationship,1,Proportional,#N/A,2,#N/A
#N/A;FESBA_1500;FESBA-FRD;Model;Bundle to Bundle Component Relationship,FESBA_1500,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Model,Bundle to Bundle Component Relationship,1,Proportional,#N/A,3,#N/A
#N/A;FESBA_1750;FESBA-FRD;Model;Bundle to Bundle Component Relationship,FESBA_1750,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Model,Bundle to Bundle Component Relationship,1,Proportional,#N/A,4,#N/A
#N/A;FESBA_2500;FESBA-FRD;Model;Bundle to Bundle Component Relationship,FESBA_2500,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Model,Bundle to Bundle Component Relationship,1,Proportional,#N/A,5,#N/A
#N/A;FESBA_2940;FESBA-FRD;Engine Model;Bundle to Bundle Component Relationship,FESBA_2940,#N/A,BundleComponent,#N/A,true,true,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Engine Model,Bundle to Bundle Component Relationship,1,Proportional,#N/A,64,#N/A
#N/A;FESBA_3090;FESBA-FRD;Fuel Filter;Bundle to Bundle Component Relationship,FESBA_3090,#N/A,BundleComponent,#N/A,true,false,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Fuel Filter,Bundle to Bundle Component Relationship,1,Proportional,#N/A,73,#N/A
#N/A;FESBA_3750;FESBA-FRD;PMG;Bundle to Bundle Component Relationship,FESBA_3750,#N/A,BundleComponent,#N/A,false,true,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,PMG,Bundle to Bundle Component Relationship,1,Proportional,#N/A,89,#N/A
#N/A;FESBA_5860;FESBA-FRD;Testing;Bundle to Bundle Component Relationship,FESBA_5860,#N/A,BundleComponent,#N/A,true,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Testing,Bundle to Bundle Component Relationship,1,Proportional,#N/A,163,#N/A
#N/A;FESBA_900;FESBA-FRD;Model;Bundle to Bundle Component Relationship,FESBA_900,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Model,Bundle to Bundle Component Relationship,1,Proportional,#N/A,1,#N/A
#N/A;FESBA_A292-2;FESBA-FRD;Heater;Bundle to Bundle Component Relationship,FESBA_A292-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Heater,Bundle to Bundle Component Relationship,1,Proportional,#N/A,86,#N/A
#N/A;FESBA_A293-2;FESBA-FRD;Heater;Bundle to Bundle Component Relationship,FESBA_A293-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Heater,Bundle to Bundle Component Relationship,1,Proportional,#N/A,87,#N/A
#N/A;FESBA_A333-2;FESBA-FRD;Battery Charging Alternator;Bundle to Bundle Component Relationship,FESBA_A333-2,#N/A,BundleComponent,#N/A,true,true,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Battery Charging Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,68,#N/A
#N/A;FESBA_A334-2;FESBA-FRD;Starter Motor;Bundle to Bundle Component Relationship,FESBA_A334-2,#N/A,BundleComponent,#N/A,true,true,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Starter Motor,Bundle to Bundle Component Relationship,1,Proportional,#N/A,67,#N/A
#N/A;FESBA_A358-2;FESBA-FRD;Packing for Shipment;Bundle to Bundle Component Relationship,FESBA_A358-2,#N/A,BundleComponent,#N/A,true,true,true,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Packing for Shipment,Bundle to Bundle Component Relationship,1,Proportional,#N/A,219,#N/A
#N/A;FESBA_A416-2;FESBA-FRD;Heater;Bundle to Bundle Component Relationship,FESBA_A416-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Heater,Bundle to Bundle Component Relationship,1,Proportional,#N/A,88,#N/A
#N/A;FESBA_A460-2;FESBA-FRD;Control Cabinet Heater;Bundle to Bundle Component Relationship,FESBA_A460-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Control Cabinet Heater,Bundle to Bundle Component Relationship,1,Proportional,#N/A,153,#N/A
#N/A;FESBA_B225-2;FESBA-FRD;Temperature Sensors;Bundle to Bundle Component Relationship,FESBA_B225-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Temperature Sensors,Bundle to Bundle Component Relationship,1,Proportional,#N/A,84,#N/A
#N/A;FESBA_B244-2;FESBA-FRD;Temperature Sensors;Bundle to Bundle Component Relationship,FESBA_B244-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Temperature Sensors,Bundle to Bundle Component Relationship,1,Proportional,#N/A,85,#N/A
#N/A;FESBA_B313-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B313-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,15,#N/A
#N/A;FESBA_B448-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B448-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,16,#N/A
#N/A;FESBA_B467-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B467-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,17,#N/A
#N/A;FESBA_B567-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B567-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,18,#N/A
#N/A;FESBA_B595-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B595-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,19,#N/A
#N/A;FESBA_B598-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B598-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,20,#N/A
#N/A;FESBA_B599-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B599-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,22,#N/A
#N/A;FESBA_B600-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B600-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,23,#N/A
#N/A;FESBA_B601-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B601-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,24,#N/A
#N/A;FESBA_B602-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B602-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,25,#N/A
#N/A;FESBA_B603-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B603-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,26,#N/A
#N/A;FESBA_B604-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B604-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,27,#N/A
#N/A;FESBA_B607-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B607-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,28,#N/A
#N/A;FESBA_B612-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B612-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,29,#N/A
#N/A;FESBA_B628-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B628-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,30,#N/A
#N/A;FESBA_B660-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B660-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,32,#N/A
#N/A;FESBA_B663-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B663-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,33,#N/A
#N/A;FESBA_B664-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B664-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,34,#N/A
#N/A;FESBA_B688-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B688-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,35,#N/A
#N/A;FESBA_B691-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B691-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,36,#N/A
#N/A;FESBA_B715-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B715-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,37,#N/A
#N/A;FESBA_B791-2;FESBA-FRD;Bearing Hardened Cartridge;Bundle to Bundle Component Relationship,FESBA_B791-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Bearing Hardened Cartridge,Bundle to Bundle Component Relationship,1,Proportional,#N/A,90,#N/A
#N/A;FESBA_B801-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B801-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,38,#N/A
#N/A;FESBA_B816-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B816-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,39,#N/A
#N/A;FESBA_B817-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B817-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,40,#N/A
#N/A;FESBA_B903-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B903-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,43,#N/A
#N/A;FESBA_B904-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B904-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,44,#N/A
#N/A;FESBA_B905-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B905-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,45,#N/A
#N/A;FESBA_B906-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B906-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,46,#N/A
#N/A;FESBA_B907-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B907-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,47,#N/A
#N/A;FESBA_B909-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_B909-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,48,#N/A
#N/A;FESBA_BB08-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB08-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,49,#N/A
#N/A;FESBA_BB10-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB10-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,50,#N/A
#N/A;FESBA_BB12-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB12-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,51,#N/A
#N/A;FESBA_BB14-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB14-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,52,#N/A
#N/A;FESBA_BB15-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB15-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,53,#N/A
#N/A;FESBA_BB17-2;FESBA-FRD;Main Alternator;Bundle to Bundle Component Relationship,FESBA_BB17-2,#N/A,BundleComponent,#N/A,false,false,false,false,#N/A,#N/A,FESBA-FRD,Bundle,#N/A,Main Alternator,Bundle to Bundle Component Relationship,1,Proportional,#N/A,54,#N/A
