CustomDecompositionScope,DecompositionScope,FulfillmentQtyCalcMethod,Name,StockKeepingUnit
#N/A,#N/A,#N/A,"Rigid Clamp Coupling, One-Piece, Steel, 3/4"" Bore",BG-CPL-6003
#N/A,OrderLineItem,#N/A,"L095 Jaw Coupling Assembly Kit, 1/2"" Bore",BG-KIT-CPL95
#N/A,OrderLineItem,#N/A,1HP Motor & VFD Control System,BG-KIT-MTR1
#N/A,#N/A,#N/A,"Three-Phase AC Motor, 1 HP, 1800 RPM, 145T Frame, TEFC",BG-MTR-1201
#N/A,#N/A,#N/A,"Variable Frequency Drive (VFD), 1 HP, 240V Input",BG-MTR-1202
#N/A,#N/A,#N/A,"Pneumatic Air Cylinder, Double-Acting, 2"" Bore, 6"" Stroke",BG-PNH-9001
#N/A,#N/A,#N/A,"5-Port 2-Position Solenoid Valve, 1/4"" NPT",BG-PNH-9002
#N/A,#N/A,#N/A,Corrosion Inhibitor (CI-3000) - 200L Drum,CI-3000-200L
#N/A,#N/A,#N/A,Corrosion Inhibitor (CI-3000) - 20L Pail,CI-3000-20L
#N/A,#N/A,#N/A,Civil Engineer,Civil-Engineer
#N/A,#N/A,#N/A,CUGR Generator Set,CUGR-FRD
#N/A,#N/A,#N/A,Defoamer (DF-4000) - 200L Drum,DF-4000-200L
#N/A,#N/A,#N/A,Defoamer (DF-4000) - 20L Pail,DF-4000-20L
#N/A,#N/A,#N/A,Dirt Bucket,DIRT-BUCKET
#N/A,#N/A,#N/A,Electrical Engineer,Electrical-Engineer
#N/A,#N/A,#N/A,Spark Plugs,EP-43253
#N/A,#N/A,#N/A,Epoxy Resin (EPX-500) - 200KG Drum,EPX-500-200KG
#N/A,#N/A,#N/A,Epoxy Resin (EPX-500) - 20KG PAIL,EPX-500-20KG
#N/A,#N/A,#N/A,Extended Warranty,EW
#N/A,#N/A,#N/A,Fluid Analysis,FA-Entitlement
#N/A,#N/A,#N/A,FESBA 1200kW,FESBA_1200
#N/A,#N/A,#N/A,FESBA 1500kW,FESBA_1500
#N/A,#N/A,#N/A,FESBA 1750kW,FESBA_1750
#N/A,#N/A,#N/A,FESBA 2500kW,FESBA_2500
#N/A,#N/A,#N/A,Engine - QSK60-G6,FESBA_2940
#N/A,#N/A,#N/A,"Fuel Filters-Engine, Standard",FESBA_3090
#N/A,#N/A,#N/A,PMG,FESBA_3750
#N/A,#N/A,#N/A,Test - Standard Factory,FESBA_5860
#N/A,#N/A,#N/A,FESBA 900kW,FESBA_900
#N/A,#N/A,#N/A,"Heater-Alternator, 120 Volt AC",FESBA_A292-2
#N/A,#N/A,#N/A,"Heater-Alternator, 240 Volt AC",FESBA_A293-2
#N/A,#N/A,#N/A,Battery Charging Alternator,FESBA_A333-2
#N/A,#N/A,#N/A,Electric Starter Motor - 24V DC,FESBA_A334-2
#N/A,#N/A,#N/A,Packing-None,FESBA_A358-2
#N/A,#N/A,#N/A,"Heater-Alternator, 110/220 (120/240) Volt AC",FESBA_A416-2
#N/A,#N/A,#N/A,120/240VAC compatible,FESBA_A460-2
#N/A,#N/A,#N/A,"Temp Sens-Stator, 2 RTD/Ph",FESBA_B225-2
#N/A,#N/A,#N/A,"Bearing,1 RTD NDE",FESBA_B244-2
#N/A,#N/A,#N/A,"Alternator - 60Hz, 3-Phase, Wye, 2400/4160V, 105/80C, StbyPrm",FESBA_B313-2
#N/A,#N/A,#N/A,"ALT-60Hz, Wye,12.47-13.8kV,125/105/80C (S/P/C)",FESBA_B448-2
#N/A,#N/A,#N/A,"ALT-60Hz,2400/4160V,125/105/80C (S/P/C)",FESBA_B467-2
#N/A,#N/A,#N/A,"ALT-60Hz,Wye,12.47kV,105/80C (S/P)",FESBA_B567-2
#N/A,#N/A,#N/A,"Alt-60Hz,Wye,220/380V,150/125/105C-SD/P/C,40C amb",FESBA_B595-2
#N/A,#N/A,#N/A,"Alt-60Hz,Wye,220/380V,125/105/80C-StbyPrmCont",FESBA_B598-2
#N/A,#N/A,#N/A,"Alt-60Hz,Wye,220/380V,105/80C-StbyPrm",FESBA_B599-2
#N/A,#N/A,#N/A,"Alternator-60Hz, 3Phase, 480Volt, 105/80C-StbyPrm",FESBA_B600-2
#N/A,#N/A,#N/A,"Alternator-60Hz, 3Phase, 480Volt, 80C-Stby",FESBA_B601-2
#N/A,#N/A,#N/A,"Alt-60Hz,347/600V,125/105/80C-SPC",FESBA_B602-2
#N/A,#N/A,#N/A,"Alternator-60Hz, 347/600Volt, 105/80C-StbyPrm",FESBA_B603-2
#N/A,#N/A,#N/A,"Alternator-60Hz, 347/600Volt, 80C-Stby",FESBA_B604-2
#N/A,#N/A,#N/A,"Alternator-60Hz, Wye, 12.47kVolt, 80C-Stby",FESBA_B607-2
#N/A,#N/A,#N/A,"Alt-60Hz, Wye, 13.2-13.8kVolt, 105/80C-StbyPrm",FESBA_B612-2
#N/A,#N/A,#N/A,"Alternator-60Hz, Wye, 13.2-13.8kVolt, 80C-Stby",FESBA_B628-2
#N/A,#N/A,#N/A,"Alternator-60 Hz, Wye, 380 Volt, 80C-Stby",FESBA_B660-2
#N/A,#N/A,#N/A,"Alt-60Hz,Wye,440V,125-80C-SPC",FESBA_B663-2
#N/A,#N/A,#N/A,"Alternator-60 Hz, Wye, 440 Volt,105/80C-StbyPrm",FESBA_B664-2
#N/A,#N/A,#N/A,"Alternator-60Hz, Wye, 440 Volt,80C-Stby",FESBA_B688-2
#N/A,#N/A,#N/A,"Alt-60Hz,Wye,440V,150/125SP,40C amb",FESBA_B691-2
#N/A,#N/A,#N/A,"Alternator-60 Hz,Wye,240/416 Volt,105/80C-StbyPrm",FESBA_B715-2
#N/A,#N/A,#N/A,Hardened Bearing Cartridge,FESBA_B791-2
#N/A,#N/A,#N/A,"Alt-60Hz, 3Phase, 480Volt, 125/105/80C-StbyPrmCont",FESBA_B801-2
#N/A,#N/A,#N/A,"Alternator-60Hz,3Phase,480Volt,150C-Stby,40C amb",FESBA_B816-2
#N/A,#N/A,#N/A,"Alternator-60Hz,3Phase,600Volt,150C-Stby,40C amb",FESBA_B817-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,277/480V,80C, Stby-Prime,IncrMtrStart",FESBA_B903-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,347/600V,80C, Stby-Prime,IncrMtrStart",FESBA_B904-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,2400/4160V,80C, Stby-Prime,IncrMtrStart",FESBA_B905-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,7200/12470V,80C, Stby-Prime,IncrMtrStart",FESBA_B906-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,7620/13200V,80C, Stby-Prime,IncrMtrStart",FESBA_B907-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,7968/13800V,80C, Stby-Prime,IncrMtrStart",FESBA_B909-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,380V,105C-DCC,40C Amb",FESBA_BB08-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,416V,105C-DCC,40C Amb",FESBA_BB10-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,440V,105C-DCC,40C Amb",FESBA_BB12-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,480V,80C-DCC,40C Amb",FESBA_BB14-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,480V,105C-DCC,40C Amb",FESBA_BB15-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,600V,80C-DCC,40C Amb",FESBA_BB17-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,600V,105C-DCC,40C Amb",FESBA_BB18-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,4160V,80C-DCC,40C Amb",FESBA_BB20-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,12.47kV,80C-DCC,40C Amb",FESBA_BB23-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,13.2kV,80C-DCC,40C Amb",FESBA_BB26-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,13.8kV,80C-DCC,40C Amb",FESBA_BB29-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,440V,80C-DCC,40C Amb",FESBA_BC03-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,380V,80C-DCC,40C Amb",FESBA_BC04-2
#N/A,#N/A,#N/A,"Alt-60Hz,3Ph,Wye,416V,80C-DCC,40C Amb",FESBA_BC05-2
#N/A,#N/A,#N/A,Separator-Fuel/Water,FESBA_C127-2
#N/A,#N/A,#N/A,"Fuel Filters-Engine, Duplex",FESBA_C278-2
#N/A,#N/A,#N/A,Heavy Duty Air Cleaner,FESBA_D036-2
#N/A,#N/A,#N/A,Normal Duty Air Cleaner,FESBA_D041-2
#N/A,#N/A,#N/A,None Supplied (Remote Cooling),FESBA_E043-2
#N/A,#N/A,#N/A,(Remote Cooling) Flanged Connectors ASA,FESBA_E080-2
#N/A,#N/A,#N/A,Engine Cooling-High Ambient Air Temperature,FESBA_E125-2
#N/A,#N/A,#N/A,Engine Cooling-Enhanced High Ambient Air Temperature,FESBA_E126-2
#N/A,#N/A,#N/A,"Eng Cooling-High Ambient Air Temp, Ship Loose",FESBA_E128-2
#N/A,#N/A,#N/A,"Terminal Hsg-Alternator Mounted,BotEntr,LV,NEMA 2-HoleConn",FESBA_F258-2
#N/A,#N/A,#N/A,"Terminal Hsg-Alternator Mounted,TopEntr,LV,NEMA 2-HoleConn",FESBA_F259-2
#N/A,#N/A,#N/A,Oil Pan-High Capacity,FESBA_H110-2
#N/A,#N/A,#N/A,Gauge-Exhaust Gas Temperature,FESBA_H244-2
#N/A,#N/A,#N/A,Shutdown-Low Coolant Level,FESBA_H389-2
#N/A,#N/A,#N/A,Warning-Low Coolant Level,FESBA_H527-2
#N/A,#N/A,#N/A,"Coolant Heater-208/240/480V, 40F Minimum Ambient Temp",FESBA_H556-2
#N/A,#N/A,#N/A,"Coolant Heater-208/240/480V, Below 40F Ambient Temp",FESBA_H557-2
#N/A,#N/A,#N/A,"Meters-AC Output,Analog",FESBA_H606-2
#N/A,#N/A,#N/A,"Filters-Eng Oil,Full Flow/Bypass",FESBA_H607-2
#N/A,#N/A,#N/A,"Indication-Ground Fault,3-PoleXfrSw",FESBA_H666-2
#N/A,#N/A,#N/A,Display - Control LCD,FESBA_H678-2
#N/A,#N/A,#N/A,PowerCommand 3.3,FESBA_H704-2
#N/A,#N/A,#N/A,AmpSentryTM Protective Relay,FESBA_H720-2
#N/A,#N/A,#N/A,"Indication-Ground Fault, Terminal Box (or) Circuit Breaker Box - Left",FESBA_H723-2
#N/A,#N/A,#N/A,"Indication-Ground Fault, Terminal Box (or) Circuit Breaker Box - Right",FESBA_H724-2
#N/A,#N/A,#N/A,Oil Sampling Valve,FESBA_H734-2
#N/A,#N/A,#N/A,"Display, Running Time",FESBA_K020-2
#N/A,#N/A,#N/A,Differential CT's P80,FESBA_K993-2
#N/A,#N/A,#N/A,"Alarm-Audible, Engine Shutdown",FESBA_KA08-2
#N/A,#N/A,#N/A,"Top Entry, Right",FESBA_KB70-2
#N/A,#N/A,#N/A,"Top Entry, Left",FESBA_KB71-2
#N/A,#N/A,#N/A,"Bottom Entry, Right",FESBA_KB72-2
#N/A,#N/A,#N/A,"Bottom Entry, Left",FESBA_KB73-2
#N/A,#N/A,#N/A,"Terminal Box-Low Voltage,Right",FESBA_KC52-2
#N/A,#N/A,#N/A,"Terminal Box-Low Voltage,Left",FESBA_KC53-2
#N/A,#N/A,#N/A,Circuit Breaker or Entrance Box-None,FESBA_KP78-2
#N/A,#N/A,#N/A,"CB-2500A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP82-2
#N/A,#N/A,#N/A,"CB-2500A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP83-2
#N/A,#N/A,#N/A,"CB-2000A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP84-2
#N/A,#N/A,#N/A,"CB-2000A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP85-2
#N/A,#N/A,#N/A,"CB-1600A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP86-2
#N/A,#N/A,#N/A,"CB-1600A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP87-2
#N/A,#N/A,#N/A,"CB-1200A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP88-2
#N/A,#N/A,#N/A,"CB-1200A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP89-2
#N/A,#N/A,#N/A,"CB-800A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP90-2
#N/A,#N/A,#N/A,"CB-800A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",FESBA_KP91-2
#N/A,#N/A,#N/A,"CB-600A,Right,3P,UL 600,IEC 690,UL Serv Ent,100%",FESBA_KP92-2
#N/A,#N/A,#N/A,"CB-600A,Left,3P,UL 600,IEC 690,UL Serv Ent,100%",FESBA_KP93-2
#N/A,#N/A,#N/A,Entrance Box-Right,FESBA_KP94-2
#N/A,#N/A,#N/A,Ckt Brkr Access-Right Side,FESBA_KP98-2
#N/A,#N/A,#N/A,Ckt Brkr Access-Left Side,FESBA_KP99-2
#N/A,#N/A,#N/A,"Ckt Brkr Lugs-Mechanical, Left Side",FESBA_KR01-2
#N/A,#N/A,#N/A,"Ckt Brkr Lugs-Mechanical, Right Side",FESBA_KR02-2
#N/A,#N/A,#N/A,Differential CT's P7,FESBA_KR08-2
#N/A,#N/A,#N/A,"Output Terminals-2-Hole Lug, NEMA",FESBA_KR78-2
#N/A,#N/A,#N/A,"Signals - Auxiliary, 8 Inputs/8 Outputs",FESBA_KS53-2
#N/A,#N/A,#N/A,"Terminal Housing-Bottom Entrance,Medium/High Volts",FESBA_KS57-2
#N/A,#N/A,#N/A,"Terminal Housing-Top Entrance,Medium/High Volts",FESBA_KS58-2
#N/A,#N/A,#N/A,"CB-3000A,Right,3P,UL 600,IEC 690,UL Serv Ent,100%",FESBA_KU62-2
#N/A,#N/A,#N/A,"CB-3000A,Left,3P,UL 600,IEC 690,UL Serv Ent,100%",FESBA_KU68-2
#N/A,#N/A,#N/A,"Entrance Box-Low Voltage,Right",FESBA_KU70-2
#N/A,#N/A,#N/A,"Entrance Box-Low Voltage,Left",FESBA_KU71-2
#N/A,#N/A,#N/A,"Bottom Entry Chute, Left",FESBA_KU83-2
#N/A,#N/A,#N/A,"Bottom Entry Chute, Right",FESBA_KU84-2
#N/A,#N/A,#N/A,Housing Arrangement - Left Entry,FESBA_KU93-2
#N/A,#N/A,#N/A,Housing Arrangement - Right Entry,FESBA_KU94-2
#N/A,#N/A,#N/A,Housing Arrangement - Left & Right Entry,FESBA_KU95-2
#N/A,#N/A,#N/A,Ground Fault Indication Relay - None,FESBA_KU99-2
#N/A,#N/A,#N/A,PowerCommand 3.3 with MLD,FESBA_KX21-2
#N/A,#N/A,#N/A,RELAYS-USER CONFIGURED,FESBA_KX24-2
#N/A,#N/A,#N/A,"Signals - Auxiliary 2, 8 Inputs/8 Outputs",FESBA_KY01-2
#N/A,#N/A,#N/A,Test Record-Strip Chart,FESBA_L010-2
#N/A,#N/A,#N/A,"Test-Extended, Prime Load, 1Hr",FESBA_L011-2
#N/A,#N/A,#N/A,"Test-Extnd, Prime Ld,2Hr",FESBA_L012-2
#N/A,#N/A,#N/A,"Test-Extnd, Prime Ld,4Hr",FESBA_L013-2
#N/A,#N/A,#N/A,"Test-Extended, Prime Load, 8Hr",FESBA_L014-2
#N/A,#N/A,#N/A,"Test-Extended, Standby Load, 1",FESBA_L015-2
#N/A,#N/A,#N/A,"Test-Extended, Standby Load, 2",FESBA_L016-2
#N/A,#N/A,#N/A,"Test-Extended, Standby Load, 4",FESBA_L017-2
#N/A,#N/A,#N/A,"Test-Extnd,Stndby Ld,8Hr",FESBA_L018-2
#N/A,#N/A,#N/A,"Test-Varied Load,1 Hour,2 Step",FESBA_L019-2
#N/A,#N/A,#N/A,"Test-Varied Load,2Hr,2 Step",FESBA_L020-2
#N/A,#N/A,#N/A,"Test-Varied Load, 4Hr, 2Step",FESBA_L021-2
#N/A,#N/A,#N/A,"Test-Varied Ld,6Hr,3 Step",FESBA_L022-2
#N/A,#N/A,#N/A,Test Record-Safety Shutdowns,FESBA_L023-2
#N/A,#N/A,#N/A,Test Record-Exhaust Temp,FESBA_L024-2
#N/A,#N/A,#N/A,Test Record-Amb Temp/Pres,FESBA_L025-2
#N/A,#N/A,#N/A,Test Record-Certified,FESBA_L026-2
#N/A,#N/A,#N/A,Test - Witness,FESBA_L027-2
#N/A,#N/A,#N/A,Genset Warranty Base,FESBA_L028-2
#N/A,#N/A,#N/A,Test-Independent Laboratory,FESBA_L038-2
#N/A,#N/A,#N/A,Literature-English,FESBA_L050-2
#N/A,#N/A,#N/A,Literature-Spanish,FESBA_L051-2
#N/A,#N/A,#N/A,Literature-French,FESBA_L052-2
#N/A,#N/A,#N/A,Literature-Chinese,FESBA_L057-2
#N/A,#N/A,#N/A,Literature-German,FESBA_L068-2
#N/A,#N/A,#N/A,Literature-Italian,FESBA_L069-2
#N/A,#N/A,#N/A,Literature-Swedish,FESBA_L070-2
#N/A,#N/A,#N/A,Literature-Portuguese,FESBA_L071-2
#N/A,#N/A,#N/A,Literature-Dutch,FESBA_L072-2
#N/A,#N/A,#N/A,Literature-Russian,FESBA_L073-2
#N/A,#N/A,#N/A,Literature-Greek,FESBA_L074-2
#N/A,#N/A,#N/A,Literature-Finnish,FESBA_L114-2
#N/A,#N/A,#N/A,Literature-Danish,FESBA_L115-2
#N/A,#N/A,#N/A,Literature-Norwegian,FESBA_L136-2
#N/A,#N/A,#N/A,ST 3YR 1500HR PARTS,FESBA_L182-2
#N/A,#N/A,#N/A,ST 5YR 2500HR PARTS,FESBA_L183-2
#N/A,#N/A,#N/A,ST 10YR 5000HR PARTS,FESBA_L184-2
#N/A,#N/A,#N/A,ST 3YR 1500HR Parts + Labor,FESBA_L185-2
#N/A,#N/A,#N/A,ST 5YR 2500HR Parts + Labor,FESBA_L186-2
#N/A,#N/A,#N/A,ST 10YR 5000HR Parts + Labor,FESBA_L187-2
#N/A,#N/A,#N/A,ST 3YR 1500HR Parts + Labor + Travel,FESBA_L188-2
#N/A,#N/A,#N/A,ST 5YR 2500HR Parts + Labor + Travel,FESBA_L189-2
#N/A,#N/A,#N/A,ST 10YR 5000HR Parts + Labor + Travel,FESBA_L190-2
#N/A,#N/A,#N/A,PR 2YR 4000HR P + L + T,FESBA_L191-2
#N/A,#N/A,#N/A,PR 3YR 6000HR P + L + T,FESBA_L192-2
#N/A,#N/A,#N/A,Literature-Brazilian Portuguese,FESBA_L245-2
#N/A,#N/A,#N/A,DCC 3YR UNLIMITED HR PARTS,FESBA_L250-2
#N/A,#N/A,#N/A,DCC 5YR UNLIMITED HR PARTS,FESBA_L251-2
#N/A,#N/A,#N/A,DCC 10YR UNLIMITED HR PARTS,FESBA_L252-2
#N/A,#N/A,#N/A,DCC 3YR UNLIMITED HR P + L,FESBA_L253-2
#N/A,#N/A,#N/A,DCC 5YR UNLIMITED HR P + L,FESBA_L254-2
#N/A,#N/A,#N/A,DCC 10YR UNLIMITED HR P + L,FESBA_L255-2
#N/A,#N/A,#N/A,DCC 3YR UNLIMITED HR P + L + T,FESBA_L256-2
#N/A,#N/A,#N/A,DCC 5YR UNLIMITED HR P + L + T,FESBA_L257-2
#N/A,#N/A,#N/A,DCC 10YR UNLIMITED HR P + L + T,FESBA_L258-2
#N/A,#N/A,#N/A,No Enclosure,FESBA_NOENC
#N/A,#N/A,#N/A,"277/480,3 Phase,Wye,4 Wire",FESBA_R002-2
#N/A,#N/A,#N/A,"240/416,3 Phase,Wye,4 Wire",FESBA_R003-2
#N/A,#N/A,#N/A,"255/440,3 Phase,Wye,4 Wire",FESBA_R023-2
#N/A,#N/A,#N/A,"220/380,3 Phase,Wye,4 Wire",FESBA_R099-2
#N/A,#N/A,#N/A,"2400/4160,3 Phase,Wye,4Wire",FESBA_R107-2
#N/A,#N/A,#N/A,"347/600,3 Phase,Wye,4 Wire",FESBA_R114-2
#N/A,#N/A,#N/A,"7976/13800,3 Ph,Wye,4 Wire",FESBA_R130-2
#N/A,#N/A,#N/A,"7621/13200,3 Ph,Wye,4 Wire",FESBA_R132-2
#N/A,#N/A,#N/A,"7200/12470,3 Ph,Wye,4 Wire",FESBA_R144-2
#N/A,#N/A,#N/A,Level 1 Sound Attenuated Enclosure,FESBA_S1ENC
#N/A,#N/A,#N/A,Level 2 Sound Attenuated Enclosure,FESBA_S2ENC
#N/A,#N/A,#N/A,Level 3 Sound Attenuated Enclosure,FESBA_S3ENC
#N/A,#N/A,#N/A,Weather Protected Enclosure,FESBA_WHENC
#N/A,#N/A,#N/A,FESBA Generator Set,FESBA-FRD
#N/A,#N/A,#N/A,Skid-Mounted Radiator Assembly,FESBA-PM-RAD
#N/A,#N/A,#N/A,Fuel Cell Power Module 700,FUCEL
#N/A,#N/A,#N/A,GAMD Generator Set,GAMD-FRD
#N/A,#N/A,#N/A,Conduits and Fittings,Generator-Conduit
#N/A,#N/A,#N/A,Wiring & Cables,Generator-Wiring
#N/A,#N/A,#N/A,General Purpose Bucket,GP-Bucket
#N/A,#N/A,#N/A,GPS Tracker Subscription,GPST
#N/A,#N/A,#N/A,Sulfuric Acid (H2SO4) - 1000L IBC,H2SO4-1000L-IBC
#N/A,#N/A,#N/A,Sulfuric Acid (H2SO4) - 200L Drum,H2SO4-200L-DR
#N/A,#N/A,#N/A,Installation Fee,Install-Fee
#N/A,#N/A,#N/A,Load Breaker,LBRK
#N/A,#N/A,#N/A,Low Voltage - Generator Breaker,LVGBRK
#N/A,#N/A,#N/A,Mechanical Engineer,Mechanical-Engineer
#N/A,#N/A,#N/A,Mounting Hardware,Mounting-Hardware
#N/A,#N/A,#N/A,Maintenance Visit,MV
#N/A,#N/A,#N/A,Medium Voltage - Generator Breaker,MVGBRK
#N/A,#N/A,#N/A,Sodium Hydroxide (NaOH) - 25KG Bag,NaOH-25KG
#N/A,#N/A,#N/A,Sodium Hydroxide (NaOH) - 50KG Bag,NaOH-50KG
#N/A,#N/A,#N/A,Ammonia (NH3) - CYL,NH3-CYL
#N/A,#N/A,#N/A,DC-DC Converter,OPT-100
#N/A,#N/A,#N/A,DC-AC Inverter,OPT-101
#N/A,#N/A,#N/A,Power Management System,OPT-102
#N/A,#N/A,#N/A,Remote Monitoring Module,OPT-103
#N/A,#N/A,#N/A,Data Logging Unit,OPT-104
#N/A,#N/A,#N/A,Startup Battery,OPT-105
#N/A,#N/A,#N/A,Hydrogen Storage Tank - 350 bar,OPT-106
#N/A,#N/A,#N/A,Hydrogen Storage Tank - 700 bar,OPT-107
#N/A,#N/A,#N/A,Natural Gas Reformer,OPT-108
#N/A,#N/A,#N/A,Fuel Quality Filtration Kit,OPT-109
#N/A,#N/A,#N/A,Automatic Purge Valves,OPT-110
#N/A,#N/A,#N/A,Radiator + Fan Assembly,OPT-111
#N/A,#N/A,#N/A,Coolant Circulation System,OPT-112
#N/A,#N/A,#N/A,Coolant Preheater,OPT-113
#N/A,#N/A,#N/A,Polymerization Catalyst (PC-500) - 5KG Pail,PC-500-5KG
#N/A,#N/A,#N/A,PowerControl - Paralleling Switchgear,PCSWG
#N/A,#N/A,#N/A,Polyethylene (PE-1000) - 25KG Bag,PE-1000-25KG
#N/A,#N/A,#N/A,Final Exhaust After-treatment System,PM-EXH-T4F
#N/A,#N/A,#N/A,Remote Monitoring Services,Remote-Monitoring
#N/A,#N/A,#N/A,Oil Filter,RHO-ENG-022
#N/A,#N/A,#N/A,Synthetic Engine Oil,RLM-SW-40
#N/A,#N/A,#N/A,Service Contract,SC-GOLD
#N/A,#N/A,#N/A,Subscription,SUB
#N/A,#N/A,#N/A,Titanium Dioxide (TiO2-500) - 1000KG Sack,TiO2-500-1000KG
#N/A,#N/A,#N/A,Titanium Dioxide (TiO2-500) - 25KG Bag,TiO2-500-25KG
#N/A,#N/A,#N/A,Toluene (TOL-100) - 1000L IBC,TOL-100-1000L
#N/A,#N/A,#N/A,Toluene (TOL-100) - 200L Drum,TOL-100-200L
#N/A,#N/A,#N/A,Trenching Bucket,TRENCHING-BUCKET
