AccountingPeriod.Name,AccountingPeriod.Name,LegalEntity.Name,Name,Status
2026-January1-January31,2026-January1-January31,Default Legal Entity - US,Default Legal Entity - US-2026-January1-January31,Open
2026-February1-February28,2026-February1-February28,Default Legal Entity - US,Default Legal Entity - US-2026-February1-February28,Open
2026-March1-March31,2026-March1-March31,Default Legal Entity - US,Default Legal Entity - US-2026-March1-March31,Open
2026-April1-April30,2026-April1-April30,Default Legal Entity - US,Default Legal Entity - US-2026-April1-April30,Open
2026-May1-May31,2026-May1-May31,Default Legal Entity - US,Default Legal Entity - US-2026-May1-May31,Open
2026-June1-June30,2026-June1-June30,Default Legal Entity - US,Default Legal Entity - US-2026-June1-June30,Open
2026-July1-July31,2026-July1-July31,Default Legal Entity - US,Default Legal Entity - US-2026-July1-July31,Open
2026-August1-August31,2026-August1-August31,Default Legal Entity - US,Default Legal Entity - US-2026-August1-August31,Open
2026-September1-September30,2026-September1-September30,Default Legal Entity - US,Default Legal Entity - US-2026-September1-September30,Open
2026-October1-October31,2026-October1-October31,Default Legal Entity - US,Default Legal Entity - US-2026-October1-October31,Open
2026-November1-November30,2026-November1-November30,Default Legal Entity - US,Default Legal Entity - US-2026-November1-November30,Open
2026-December1-December31,2026-December1-December31,Default Legal Entity - US,Default Legal Entity - US-2026-December1-December31,Open
2027-January1-January31,2027-January1-January31,Default Legal Entity - US,Default Legal Entity - US-2027-January1-January31,Open
2027-February1-February28,2027-February1-February28,Default Legal Entity - US,Default Legal Entity - US-2027-February1-February28,Open
2027-March1-March31,2027-March1-March31,Default Legal Entity - US,Default Legal Entity - US-2027-March1-March31,Open
2027-April1-April30,2027-April1-April30,Default Legal Entity - US,Default Legal Entity - US-2027-April1-April30,Open
2027-May1-May31,2027-May1-May31,Default Legal Entity - US,Default Legal Entity - US-2027-May1-May31,Open
2027-June1-June30,2027-June1-June30,Default Legal Entity - US,Default Legal Entity - US-2027-June1-June30,Open
2027-July1-July31,2027-July1-July31,Default Legal Entity - US,Default Legal Entity - US-2027-July1-July31,Open
2027-August1-August31,2027-August1-August31,Default Legal Entity - US,Default Legal Entity - US-2027-August1-August31,Open
2027-September1-September30,2027-September1-September30,Default Legal Entity - US,Default Legal Entity - US-2027-September1-September30,Open
2027-October1-October31,2027-October1-October31,Default Legal Entity - US,Default Legal Entity - US-2027-October1-October31,Open
2027-November1-November30,2027-November1-November30,Default Legal Entity - US,Default Legal Entity - US-2027-November1-November30,Open
2027-December1-December31,2027-December1-December31,Default Legal Entity - US,Default Legal Entity - US-2027-December1-December31,Open
2028-January1-January31,2028-January1-January31,Default Legal Entity - US,Default Legal Entity - US-2028-January1-January31,Open
2028-February1-February29,2028-February1-February29,Default Legal Entity - US,Default Legal Entity - US-2028-February1-February29,Open
2028-March1-March31,2028-March1-March31,Default Legal Entity - US,Default Legal Entity - US-2028-March1-March31,Open
2028-April1-April30,2028-April1-April30,Default Legal Entity - US,Default Legal Entity - US-2028-April1-April30,Open
2028-May1-May31,2028-May1-May31,Default Legal Entity - US,Default Legal Entity - US-2028-May1-May31,Open
2028-June1-June30,2028-June1-June30,Default Legal Entity - US,Default Legal Entity - US-2028-June1-June30,Open
2028-July1-July31,2028-July1-July31,Default Legal Entity - US,Default Legal Entity - US-2028-July1-July31,Open
2028-August1-August31,2028-August1-August31,Default Legal Entity - US,Default Legal Entity - US-2028-August1-August31,Open
2028-September1-September30,2028-September1-September30,Default Legal Entity - US,Default Legal Entity - US-2028-September1-September30,Open
2028-October1-October31,2028-October1-October31,Default Legal Entity - US,Default Legal Entity - US-2028-October1-October31,Open
2028-November1-November30,2028-November1-November30,Default Legal Entity - US,Default Legal Entity - US-2028-November1-November30,Open
2028-December1-December31,2028-December1-December31,Default Legal Entity - US,Default Legal Entity - US-2028-December1-December31,Open
2029-January1-January31,2029-January1-January31,Default Legal Entity - US,Default Legal Entity - US-2029-January1-January31,Open
2029-February1-February28,2029-February1-February28,Default Legal Entity - US,Default Legal Entity - US-2029-February1-February28,Open
2029-March1-March31,2029-March1-March31,Default Legal Entity - US,Default Legal Entity - US-2029-March1-March31,Open
2029-April1-April30,2029-April1-April30,Default Legal Entity - US,Default Legal Entity - US-2029-April1-April30,Open
2029-May1-May31,2029-May1-May31,Default Legal Entity - US,Default Legal Entity - US-2029-May1-May31,Open
2029-June1-June30,2029-June1-June30,Default Legal Entity - US,Default Legal Entity - US-2029-June1-June30,Open
2029-July1-July31,2029-July1-July31,Default Legal Entity - US,Default Legal Entity - US-2029-July1-July31,Open
2029-August1-August31,2029-August1-August31,Default Legal Entity - US,Default Legal Entity - US-2029-August1-August31,Open
2029-September1-September30,2029-September1-September30,Default Legal Entity - US,Default Legal Entity - US-2029-September1-September30,Open
2029-October1-October31,2029-October1-October31,Default Legal Entity - US,Default Legal Entity - US-2029-October1-October31,Open
2029-November1-November30,2029-November1-November30,Default Legal Entity - US,Default Legal Entity - US-2029-November1-November30,Open
2029-December1-December31,2029-December1-December31,Default Legal Entity - US,Default Legal Entity - US-2029-December1-December31,Open
2030-January1-January31,2030-January1-January31,Default Legal Entity - US,Default Legal Entity - US-2030-January1-January31,Open
2030-February1-February28,2030-February1-February28,Default Legal Entity - US,Default Legal Entity - US-2030-February1-February28,Open
2030-March1-March31,2030-March1-March31,Default Legal Entity - US,Default Legal Entity - US-2030-March1-March31,Open
2030-April1-April30,2030-April1-April30,Default Legal Entity - US,Default Legal Entity - US-2030-April1-April30,Open
2030-May1-May31,2030-May1-May31,Default Legal Entity - US,Default Legal Entity - US-2030-May1-May31,Open
2030-June1-June30,2030-June1-June30,Default Legal Entity - US,Default Legal Entity - US-2030-June1-June30,Open
2030-July1-July31,2030-July1-July31,Default Legal Entity - US,Default Legal Entity - US-2030-July1-July31,Open
2030-August1-August31,2030-August1-August31,Default Legal Entity - US,Default Legal Entity - US-2030-August1-August31,Open
2030-September1-September30,2030-September1-September30,Default Legal Entity - US,Default Legal Entity - US-2030-September1-September30,Open
2030-October1-October31,2030-October1-October31,Default Legal Entity - US,Default Legal Entity - US-2030-October1-October31,Open
2030-November1-November30,2030-November1-November30,Default Legal Entity - US,Default Legal Entity - US-2030-November1-November30,Open
2030-December1-December31,2030-December1-December31,Default Legal Entity - US,Default Legal Entity - US-2030-December1-December31,Open
