StockKeepingUnit,TaxPolicy.Name
PROD-890173745,Default Tax Policy
PROD-915112779,Default Tax Policy
PROD-942049373,Default Tax Policy
PROD-950775878,Default Tax Policy
PROD-9614201,Default Tax Policy
PROD-961586782,Default Tax Policy
PROD-970871438,Default Tax Policy
PROD-988309468,Default Tax Policy
PROD-990828007,Default Tax Policy
RES-USD-DEF,Default Tax Policy
TEST-SUB,Default Tax Policy
