$$AttributeBasedAdjRule.Name$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,AttributeAdjConditionsHash,AttributeBasedAdjRule.Name,AttributeCount,CurrencyIsoCode,EffectiveFrom,EffectiveTo,PriceAdjustmentSchedule.Name,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Rule_1724814176583;Standard Attribute Based Adjustment;QB-API;Term Annual;EUR,Override,13145.5,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583,1,EUR,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583;Standard Attribute Based Adjustment;QB-API;Term Annual;AUD,Override,21452,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583,1,AUD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583;Standard Attribute Based Adjustment;QB-API;Term Annual;CAD,Override,21135,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583,1,CAD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583;Standard Attribute Based Adjustment;QB-API;Term Annual;CHF,Override,12206.5,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583,1,CHF,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583;Standard Attribute Based Adjustment;QB-API;Term Annual;JPY,Override,2446300,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583,1,JPY,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993;Standard Attribute Based Adjustment;QB-API;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993;Standard Attribute Based Adjustment;QB-API;Term Annual;GBP,Override,6355.5,2e51e6c156755240c96645871bb942f3,Rule_1724814263993,1,GBP,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993;Standard Attribute Based Adjustment;QB-API;Term Annual;EUR,Override,7449,2e51e6c156755240c96645871bb942f3,Rule_1724814263993,1,EUR,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993;Standard Attribute Based Adjustment;QB-API;Term Annual;AUD,Override,12156,2e51e6c156755240c96645871bb942f3,Rule_1724814263993,1,AUD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993;Standard Attribute Based Adjustment;QB-API;Term Annual;CAD,Override,11976.5,2e51e6c156755240c96645871bb942f3,Rule_1724814263993,1,CAD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993;Standard Attribute Based Adjustment;QB-API;Term Annual;CHF,Override,6917,2e51e6c156755240c96645871bb942f3,Rule_1724814263993,1,CHF,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993;Standard Attribute Based Adjustment;QB-API;Term Annual;JPY,Override,1386236,2e51e6c156755240c96645871bb942f3,Rule_1724814263993,1,JPY,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment,1,Annual,QB-API,Term Annual;TermDefined,Attribute,TermDefined
