$$CostBook.Name$Product.StockKeepingUnit$CurrencyIsoCode,Cost,CostBook.Name,CurrencyIsoCode,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
Standard Cost Book;QB-API-GOVT;CAD,964.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-API-GOVT
Standard Cost Book;QB-API-GOVT;CHF,557,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-API-GOVT
Standard Cost Book;QB-API-GOVT;JPY,111639,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-API-GOVT
Standard Cost Book;QB-API-MGMT;USD,292.44,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-API-MGMT
Standard Cost Book;QB-API-MGMT;GBP,218.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-API-MGMT
Standard Cost Book;QB-API-MGMT;EUR,256.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-API-MGMT
Standard Cost Book;QB-API-MGMT;AUD,418,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-API-MGMT
Standard Cost Book;QB-API-MGMT;CAD,412,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-API-MGMT
Standard Cost Book;QB-API-MGMT;CHF,238,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-API-MGMT
Standard Cost Book;QB-API-MGMT;JPY,47693,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-API-MGMT
Standard Cost Book;QB-API-PREP;USD,869.06,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-API-PREP
Standard Cost Book;QB-API-PREP;GBP,650,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-API-PREP
Standard Cost Book;QB-API-PREP;EUR,761.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-API-PREP
Standard Cost Book;QB-API-PREP;AUD,1243,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-API-PREP
Standard Cost Book;QB-API-PREP;CAD,1224.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-API-PREP
Standard Cost Book;QB-API-PREP;CHF,707,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-API-PREP
Standard Cost Book;QB-API-PREP;JPY,141732,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-API-PREP
Standard Cost Book;QB-API-PROD;USD,1066.8,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-API-PROD
Standard Cost Book;QB-API-PROD;GBP,797.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-API-PROD
Standard Cost Book;QB-API-PROD;EUR,935,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-API-PROD
Standard Cost Book;QB-API-PROD;AUD,1525.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-API-PROD
Standard Cost Book;QB-API-PROD;CAD,1503,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-API-PROD
Standard Cost Book;QB-API-PROD;CHF,868,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-API-PROD
Standard Cost Book;QB-API-PROD;JPY,173981,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-API-PROD
Standard Cost Book;QB-API-REQT;USD,1.61,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-API-REQT
Standard Cost Book;QB-API-REQT;GBP,1,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-API-REQT
Standard Cost Book;QB-API-REQT;EUR,1.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-API-REQT
Standard Cost Book;QB-API-REQT;AUD,2.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-API-REQT
Standard Cost Book;QB-API-REQT;CAD,2.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-API-REQT
Standard Cost Book;QB-API-REQT;CHF,1.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-API-REQT
Standard Cost Book;QB-API-REQT;JPY,263,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-API-REQT
Standard Cost Book;QB-AUT-CRED;USD,0.98,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-AUT-CRED
Standard Cost Book;QB-AUT-CRED;GBP,0.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-AUT-CRED
Standard Cost Book;QB-AUT-CRED;EUR,1,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-AUT-CRED
Standard Cost Book;QB-AUT-CRED;AUD,1.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-AUT-CRED
Standard Cost Book;QB-AUT-CRED;CAD,1.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-AUT-CRED
Standard Cost Book;QB-AUT-CRED;CHF,1,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-AUT-CRED
Standard Cost Book;QB-AUT-CRED;JPY,160,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-AUT-CRED
Standard Cost Book;QB-BDL-R750;USD,1335.88,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-BDL-R750
Standard Cost Book;QB-BDL-R750;GBP,999,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-BDL-R750
Standard Cost Book;QB-BDL-R750;EUR,1170.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-BDL-R750
Standard Cost Book;QB-BDL-R750;AUD,1910.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-BDL-R750
Standard Cost Book;QB-BDL-R750;CAD,1882,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-BDL-R750
Standard Cost Book;QB-BDL-R750;CHF,1087,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-BDL-R750
Standard Cost Book;QB-BDL-R750;JPY,217864,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-BDL-R750
Standard Cost Book;QB-BET X710SFP;USD,231.28,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-BET X710SFP
Standard Cost Book;QB-BET X710SFP;GBP,173,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-BET X710SFP
Standard Cost Book;QB-BET X710SFP;EUR,202.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-BET X710SFP
Standard Cost Book;QB-BET X710SFP;AUD,331,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-BET X710SFP
Standard Cost Book;QB-BET X710SFP;CAD,326,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-BET X710SFP
Standard Cost Book;QB-BET X710SFP;CHF,188,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-BET X710SFP
Standard Cost Book;QB-BET X710SFP;JPY,37719,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-BET X710SFP
Standard Cost Book;QB-CBOOST-150;USD,76.49,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-CBOOST-150
Standard Cost Book;QB-CBOOST-150;GBP,57,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-CBOOST-150
Standard Cost Book;QB-CBOOST-150;EUR,67,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-CBOOST-150
Standard Cost Book;QB-CBOOST-150;AUD,109.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-CBOOST-150
Standard Cost Book;QB-CBOOST-150;CAD,108,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-CBOOST-150
Standard Cost Book;QB-CBOOST-150;CHF,62,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-CBOOST-150
Standard Cost Book;QB-CBOOST-150;JPY,12474,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-CBOOST-150
Standard Cost Book;QB-CMPC-5882;USD,121.63,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5882
Standard Cost Book;QB-CMPC-5882;GBP,91,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5882
Standard Cost Book;QB-CMPC-5882;EUR,106.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5882
Standard Cost Book;QB-CMPC-5882;AUD,174,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5882
Standard Cost Book;QB-CMPC-5882;CAD,171.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5882
Standard Cost Book;QB-CMPC-5882;CHF,99,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5882
Standard Cost Book;QB-CMPC-5882;JPY,19836,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5882
Standard Cost Book;QB-CMPC-5887;USD,49.9,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5887
Standard Cost Book;QB-CMPC-5887;GBP,37.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5887
Standard Cost Book;QB-CMPC-5887;EUR,43.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5887
Standard Cost Book;QB-CMPC-5887;AUD,71.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5887
Standard Cost Book;QB-CMPC-5887;CAD,70.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5887
Standard Cost Book;QB-CMPC-5887;CHF,40.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5887
Standard Cost Book;QB-CMPC-5887;JPY,8138,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-CMPC-5887
Standard Cost Book;QB-CMT-TKN-EACH;USD,410.71,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-EACH
Standard Cost Book;QB-CMT-TKN-EACH;GBP,307,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-EACH
Standard Cost Book;QB-CMT-TKN-EACH;EUR,360,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-EACH
Standard Cost Book;QB-CMT-TKN-EACH;AUD,587.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-EACH
Standard Cost Book;QB-CMT-TKN-EACH;CAD,578.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-EACH
Standard Cost Book;QB-CMT-TKN-EACH;CHF,334,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-EACH
Standard Cost Book;QB-CMT-TKN-EACH;JPY,66981,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-EACH
Standard Cost Book;QB-CMT-TKN-FLAT;USD,219.84,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-FLAT
Standard Cost Book;QB-CMT-TKN-FLAT;GBP,164.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-FLAT
Standard Cost Book;QB-CMT-TKN-FLAT;EUR,192.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-FLAT
Standard Cost Book;QB-CMT-TKN-FLAT;AUD,314.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-FLAT
Standard Cost Book;QB-CMT-TKN-FLAT;CAD,310,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-FLAT
Standard Cost Book;QB-CMT-TKN-FLAT;CHF,179,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-FLAT
Standard Cost Book;QB-CMT-TKN-FLAT;JPY,35853,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-FLAT
Standard Cost Book;QB-CMT-TKN-BND;USD,219.84,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-BND
Standard Cost Book;QB-CMT-TKN-BND;GBP,164.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-BND
Standard Cost Book;QB-CMT-TKN-BND;EUR,192.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-BND
Standard Cost Book;QB-CMT-TKN-BND;AUD,314.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-BND
Standard Cost Book;QB-CMT-TKN-BND;CAD,310,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-BND
Standard Cost Book;QB-CMT-TKN-BND;CHF,179,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-BND
Standard Cost Book;QB-CMT-TKN-BND;JPY,35853,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-BND
Standard Cost Book;QB-CMT-TKN-TIER;USD,321.81,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-TIER
Standard Cost Book;QB-CMT-TKN-TIER;GBP,240.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-TIER
Standard Cost Book;QB-CMT-TKN-TIER;EUR,282,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-TIER
Standard Cost Book;QB-CMT-TKN-TIER;AUD,460,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-TIER
Standard Cost Book;QB-CMT-TKN-TIER;CAD,453.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-TIER
Standard Cost Book;QB-CMT-TKN-TIER;CHF,262,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-TIER
Standard Cost Book;QB-CMT-TKN-TIER;JPY,52483,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-CMT-TKN-TIER
Standard Cost Book;QB-CPU-HEATSINK;USD,4.27,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-CPU-HEATSINK
Standard Cost Book;QB-CPU-HEATSINK;GBP,3,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-CPU-HEATSINK
Standard Cost Book;QB-CPU-HEATSINK;EUR,3.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-CPU-HEATSINK
Standard Cost Book;QB-CPU-HEATSINK;AUD,6,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-CPU-HEATSINK
Standard Cost Book;QB-CPU-HEATSINK;CAD,6,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-CPU-HEATSINK
Standard Cost Book;QB-CPU-HEATSINK;CHF,3.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-CPU-HEATSINK
Standard Cost Book;QB-CPU-HEATSINK;JPY,696,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-CPU-HEATSINK
Standard Cost Book;QB-DAT-GRPH;USD,7720.88,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-DAT-GRPH
Standard Cost Book;QB-DAT-GRPH;GBP,5773,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-DAT-GRPH
Standard Cost Book;QB-DAT-GRPH;EUR,6766.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-DAT-GRPH
Standard Cost Book;QB-DAT-GRPH;AUD,11042,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-DAT-GRPH
Standard Cost Book;QB-DAT-GRPH;CAD,10878.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-DAT-GRPH
Standard Cost Book;QB-DAT-GRPH;CHF,6283,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-DAT-GRPH
Standard Cost Book;QB-DAT-GRPH;JPY,1259172,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-DAT-GRPH
Standard Cost Book;QB-DB;USD,4351.66,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-DB
Standard Cost Book;QB-DB;GBP,3254,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-DB
Standard Cost Book;QB-DB;EUR,3813.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-DB
Standard Cost Book;QB-DB;AUD,6223.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-DB
Standard Cost Book;QB-DB;CAD,6131.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-DB
Standard Cost Book;QB-DB;CHF,3541,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-DB
Standard Cost Book;QB-DB;JPY,709698,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-DB
Standard Cost Book;QB-DB-TOKEN;USD,3382.7,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-DB-TOKEN
Standard Cost Book;QB-DB-TOKEN;GBP,2529.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-DB-TOKEN
Standard Cost Book;QB-DB-TOKEN;EUR,2964.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-DB-TOKEN
Standard Cost Book;QB-DB-TOKEN;AUD,4837.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-DB-TOKEN
Standard Cost Book;QB-DB-TOKEN;CAD,4766,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-DB-TOKEN
Standard Cost Book;QB-DB-TOKEN;CHF,2752.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-DB-TOKEN
Standard Cost Book;QB-DB-TOKEN;JPY,551673,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-DB-TOKEN
Standard Cost Book;QB-FLO-STRT;USD,216.21,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-FLO-STRT
Standard Cost Book;QB-FLO-STRT;GBP,161.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-FLO-STRT
Standard Cost Book;QB-FLO-STRT;EUR,189.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-FLO-STRT
Standard Cost Book;QB-FLO-STRT;AUD,309,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-FLO-STRT
Standard Cost Book;QB-FLO-STRT;CAD,304.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-FLO-STRT
Standard Cost Book;QB-FLO-STRT;CHF,176,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-FLO-STRT
Standard Cost Book;QB-FLO-STRT;JPY,35261,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-FLO-STRT
Standard Cost Book;QB-GEN-AI-LIC;USD,35.01,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-GEN-AI-LIC
Standard Cost Book;QB-GEN-AI-LIC;GBP,26,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-GEN-AI-LIC
Standard Cost Book;QB-GEN-AI-LIC;EUR,30.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-GEN-AI-LIC
Standard Cost Book;QB-GEN-AI-LIC;AUD,50,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-GEN-AI-LIC
Standard Cost Book;QB-GEN-AI-LIC;CAD,49.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-GEN-AI-LIC
Standard Cost Book;QB-GEN-AI-LIC;CHF,28.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-GEN-AI-LIC
Standard Cost Book;QB-GEN-AI-LIC;JPY,5710,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-GEN-AI-LIC
Standard Cost Book;QB-HD 1.2TB;USD,28.46,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-HD 1.2TB
Standard Cost Book;QB-HD 1.2TB;GBP,21.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-HD 1.2TB
Standard Cost Book;QB-HD 1.2TB;EUR,25,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-HD 1.2TB
Standard Cost Book;QB-HD 1.2TB;AUD,40.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-HD 1.2TB
Standard Cost Book;QB-HD 1.2TB;CAD,40,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-HD 1.2TB
Standard Cost Book;QB-HD 1.2TB;CHF,23,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-HD 1.2TB
Standard Cost Book;QB-HD 1.2TB;JPY,4641,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-HD 1.2TB
Standard Cost Book;QB-HD 1TB;USD,181.93,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-HD 1TB
Standard Cost Book;QB-HD 1TB;GBP,136,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-HD 1TB
Standard Cost Book;QB-HD 1TB;EUR,159.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-HD 1TB
Standard Cost Book;QB-HD 1TB;AUD,260,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-HD 1TB
Standard Cost Book;QB-HD 1TB;CAD,256.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-HD 1TB
Standard Cost Book;QB-HD 1TB;CHF,148,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-HD 1TB
Standard Cost Book;QB-HD 1TB;JPY,29670,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-HD 1TB
Standard Cost Book;QB-HD 20TB;USD,885.47,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-HD 20TB
Standard Cost Book;QB-HD 20TB;GBP,662,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-HD 20TB
Standard Cost Book;QB-HD 20TB;EUR,776,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-HD 20TB
Standard Cost Book;QB-HD 20TB;AUD,1266.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-HD 20TB
Standard Cost Book;QB-HD 20TB;CAD,1247.5,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-HD 20TB
Standard Cost Book;QB-HD 20TB;CHF,720.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-HD 20TB
Standard Cost Book;QB-HD 20TB;JPY,144408,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-HD 20TB
Standard Cost Book;QB-HD 3TB;USD,177.4,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-HD 3TB
Standard Cost Book;QB-HD 3TB;GBP,132.5,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-HD 3TB
Standard Cost Book;QB-HD 3TB;EUR,155.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-HD 3TB
Standard Cost Book;QB-HD 3TB;AUD,253.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-HD 3TB
Standard Cost Book;QB-HD 3TB;CAD,250,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-HD 3TB
Standard Cost Book;QB-HD 3TB;CHF,144.5,Standard Cost Book,CHF,,2024-01-01T17:00:00.000+0000,,QB-HD 3TB
Standard Cost Book;QB-HD 3TB;JPY,28932,Standard Cost Book,JPY,,2024-01-01T17:00:00.000+0000,,QB-HD 3TB
Standard Cost Book;QB-HD 4TB;USD,307.43,Standard Cost Book,USD,,2024-01-01T17:00:00.000+0000,,QB-HD 4TB
Standard Cost Book;QB-HD 4TB;GBP,230,Standard Cost Book,GBP,,2024-01-01T17:00:00.000+0000,,QB-HD 4TB
Standard Cost Book;QB-HD 4TB;EUR,269.5,Standard Cost Book,EUR,,2024-01-01T17:00:00.000+0000,,QB-HD 4TB
Standard Cost Book;QB-HD 4TB;AUD,439.5,Standard Cost Book,AUD,,2024-01-01T17:00:00.000+0000,,QB-HD 4TB
Standard Cost Book;QB-HD 4TB;CAD,433,Standard Cost Book,CAD,,2024-01-01T17:00:00.000+0000,,QB-HD 4TB
