$$RLM_Learning_Section__r.Name$RLM_Learning_Block__r.Name$RLM_Learning_Order_Sequence__c,RLM_Learning_Section__r.Name,RLM_Learning_Block__r.Name,RLM_Learning_Order_Sequence__c
Home Welcome;Home Welcome Block;1.0,Home Welcome,Home Welcome Block,1.0
Billing Left Bottom Section;Billing Launch App Block;3.0,Billing Left Bottom Section,Billing Launch App Block,3.0
Billing Left Bottom Section;Billing Customize Capabilities;4.0,Billing Left Bottom Section,Billing Customize Capabilities,4.0
Rate Management Left Bottom Section;Rate Management Get Started Block;1.0,Rate Management Left Bottom Section,Rate Management Get Started Block,1.0
Product Configurator Learning Hub Section;Product Configurator Learning Block 1;1.0,Product Configurator Learning Hub Section,Product Configurator Learning Block 1,1.0
Salesforce Contracts Left Bottom Section;Salesforce Contracts Customize Capabilities Block;4.0,Salesforce Contracts Left Bottom Section,Salesforce Contracts Customize Capabilities Block,4.0
Rate Management Left Bottom Section;Rate Management Validate Setup Block;2.0,Rate Management Left Bottom Section,Rate Management Validate Setup Block,2.0
Salesforce Contracts Left Bottom Section;Salesforce Contracts Launch App Block;3.0,Salesforce Contracts Left Bottom Section,Salesforce Contracts Launch App Block,3.0
Rate Management Left Bottom Section;Rate Management Launch App Block;3.0,Rate Management Left Bottom Section,Rate Management Launch App Block,3.0
Rate Management Left Bottom Section;Rate Management Customize Capabilities Block;4.0,Rate Management Left Bottom Section,Rate Management Customize Capabilities Block,4.0
Salesforce Contracts Left Bottom Section;Salesforce Contracts Get Started Block;1.0,Salesforce Contracts Left Bottom Section,Salesforce Contracts Get Started Block,1.0
Salesforce Contracts Left Bottom Section;Salesforce Contracts Validate Setup Block;2.0,Salesforce Contracts Left Bottom Section,Salesforce Contracts Validate Setup Block,2.0
Usage Management Left Bottom Section;Usage Management Get Started Block;1.0,Usage Management Left Bottom Section,Usage Management Get Started Block,1.0
Usage Management Left Bottom Section;Usage Management Validate Setup Block;2.0,Usage Management Left Bottom Section,Usage Management Validate Setup Block,2.0
Usage Management Left Bottom Section;Usage Management Launch App Block;3.0,Usage Management Left Bottom Section,Usage Management Launch App Block,3.0
Home Left Bottom;Product Catalog Management Home Block;1.0,Home Left Bottom,Product Catalog Management Home Block,1.0
Usage Management Left Bottom Section;Usage Management Customize Capabilities Block;4.0,Usage Management Left Bottom Section,Usage Management Customize Capabilities Block,4.0
Price Management Launch App Popup Section;Price Management Launch App Popup Text Block;1.0,Price Management Launch App Popup Section,Price Management Launch App Popup Text Block,1.0
PCM_Launch Popup Section;PCM_Launch;1.0,PCM_Launch Popup Section,PCM_Launch,1.0
Home Left Bottom;Product Configurator Home Block;2.0,Home Left Bottom,Product Configurator Home Block,2.0
Home Left Bottom;Transaction Management Home Block;4.0,Home Left Bottom,Transaction Management Home Block,4.0
Home Left Bottom;Dynamic Revenue Orchestrator Home Block;5.0,Home Left Bottom,Dynamic Revenue Orchestrator Home Block,5.0
Price Management Validate Setup Popup Section;Price Management Validate Popup Block;1.0,Price Management Validate Setup Popup Section,Price Management Validate Popup Block,1.0
Price Management Launch Popup Section;Salesforce Pricing Launch App Popup Block;1.0,Price Management Launch Popup Section,Salesforce Pricing Launch App Popup Block,1.0
Transaction Management Get Started Popup Text Section;Transaction Management Get Started Popup Text Block;1.0,Transaction Management Get Started Popup Text Section,Transaction Management Get Started Popup Text Block,1.0
Home Left Bottom;Price Management Home Block;3.0,Home Left Bottom,Price Management Home Block,3.0
Transaction Management Validate Setup Popup;Transaction Management Validate Setup Popup Text Block;1.0,Transaction Management Validate Setup Popup,Transaction Management Validate Setup Popup Text Block,1.0
Transaction Management Launch App Popup Text Section;Transaction Management Launch App Popup Text Block;1.0,Transaction Management Launch App Popup Text Section,Transaction Management Launch App Popup Text Block,1.0
Transaction Management Customize Capabilities Popup Section;Transaction Management Customize Capabilities Popup Text Block;1.0,Transaction Management Customize Capabilities Popup Section,Transaction Management Customize Capabilities Popup Text Block,1.0
DRO Get Started Section;DRO Get Started Popup Text Block;1.0,DRO Get Started Section,DRO Get Started Popup Text Block,1.0
DRO Validate Setup Popup Section;DRO Validate Setup Popup Text Block;1.0,DRO Validate Setup Popup Section,DRO Validate Setup Popup Text Block,1.0
DRO Launch App Popup Section;DRO Launch App Popup Text;1.0,DRO Launch App Popup Section,DRO Launch App Popup Text,1.0
DRO Customize Capabilities Popup Section;DRO Customize Capabilities Popup Text;1.0,DRO Customize Capabilities Popup Section,DRO Customize Capabilities Popup Text,1.0
Billing Get Started Popup Section;Billing Get Started Popup Text;1.0,Billing Get Started Popup Section,Billing Get Started Popup Text,1.0
Billing Validate Popup Section;Billing Validate Setup Popup Block;1.0,Billing Validate Popup Section,Billing Validate Setup Popup Block,1.0
Billing Launch App Popup Section;Billing Launch App Popup Text;1.0,Billing Launch App Popup Section,Billing Launch App Popup Text,1.0
Billing Customize Capabilities Popup Section;Billing Customize Capabilities Popup Block;1.0,Billing Customize Capabilities Popup Section,Billing Customize Capabilities Popup Block,1.0
Rate Management Get Started Popup Section;Rate Management Get Started Popup Text Block;1.0,Rate Management Get Started Popup Section,Rate Management Get Started Popup Text Block,1.0
Rate Management Validate Setup Popup Section;Rate Management Validate Setup Popup Block;1.0,Rate Management Validate Setup Popup Section,Rate Management Validate Setup Popup Block,1.0
Rate Management Launch App Popup Section;Rate Management Launch App Popup Text Block;1.0,Rate Management Launch App Popup Section,Rate Management Launch App Popup Text Block,1.0
Rate Management Customize Capabilities Popup Section;Rate Management Customize Capabilities Popup Text Block;1.0,Rate Management Customize Capabilities Popup Section,Rate Management Customize Capabilities Popup Text Block,1.0
Salesforce Contracts Get Started Popup Section;Salesforce Contracts Get Started Popup Text Block;1.0,Salesforce Contracts Get Started Popup Section,Salesforce Contracts Get Started Popup Text Block,1.0
Salesforce Contracts Validate Setup Popup Section;Salesforce Contracts Validate Setup Popup Text Block;1.0,Salesforce Contracts Validate Setup Popup Section,Salesforce Contracts Validate Setup Popup Text Block,1.0
Salesforce Contracts Launch App Popup Section;Salesforce Contracts Launch App Popup Text;1.0,Salesforce Contracts Launch App Popup Section,Salesforce Contracts Launch App Popup Text,1.0
Salesforce Contracts Customize Capabilities Popup Section;Salesforce Contracts Customize Capabilities Popup Text Block;1.0,Salesforce Contracts Customize Capabilities Popup Section,Salesforce Contracts Customize Capabilities Popup Text Block,1.0
Usage Management Get Started Popup Section;Usage Management Get Started Popup Block;1.0,Usage Management Get Started Popup Section,Usage Management Get Started Popup Block,1.0
Product Configurator Left Top Section;Product Configurator Left Top Block;1.0,Product Configurator Left Top Section,Product Configurator Left Top Block,1.0
Usage Management Validate Setup Section;Usage Management Validate Setup Popup Text Block;1.0,Usage Management Validate Setup Section,Usage Management Validate Setup Popup Text Block,1.0
Usage Management Launch App;Usage Management Launch App Popup Text Block;1.0,Usage Management Launch App,Usage Management Launch App Popup Text Block,1.0
Usage Management Customize Capabilities Popup Section;Usage Management Customize Capabilities Popup Block;1.0,Usage Management Customize Capabilities Popup Section,Usage Management Customize Capabilities Popup Block,1.0
Product Catalog Management Left Top Section;Product Catalog Management Top Block;1.0,Product Catalog Management Left Top Section,Product Catalog Management Top Block,1.0
PCM_Learn Popup Section;PCM_Learn;1.0,PCM_Learn Popup Section,PCM_Learn,1.0
PCM_Check Popup Section;PCM_Check;1.0,PCM_Check Popup Section,PCM_Check,1.0
PCM_Explore Popup Section;PCM_Explore;1.0,PCM_Explore Popup Section,PCM_Explore,1.0
Home Left Top;Home Left Top Block;1.0,Home Left Top,Home Left Top Block,1.0
Product Configurator Learning Hub Section;Product Configurator Learning Block 2;2.0,Product Configurator Learning Hub Section,Product Configurator Learning Block 2,2.0
ProductConfig_Validate;ProductConfig_Validate_Popup Section;1.0,ProductConfig_Validate,ProductConfig_Validate_Popup Section,1.0
Home Left Bottom;Billing Management Home Block;6.0,Home Left Bottom,Billing Management Home Block,6.0
ProductConfig_Launch Popup Section;ProductConfig_Validate_Popup Text;1.0,ProductConfig_Launch Popup Section,ProductConfig_Validate_Popup Text,1.0
ProductConfigurator Customise Popup Section;Product Configurator Customise Popup Block;1.0,ProductConfigurator Customise Popup Section,Product Configurator Customise Popup Block,1.0
Price Management Left Top Section;Price Management Solution Overview Block;1.0,Price Management Left Top Section,Price Management Solution Overview Block,1.0
Price Management Customize Capabilities Popup Section;Price Management Customize Capabilities Popup Text Block;1.0,Price Management Customize Capabilities Popup Section,Price Management Customize Capabilities Popup Text Block,1.0
Product Catalog Management Learning Hub;Product Catalog Management Learning Block 3;1.0,Product Catalog Management Learning Hub,Product Catalog Management Learning Block 3,1.0
Product Catalog Management Learning Hub;Product Catalog Management Learning Block 1;2.0,Product Catalog Management Learning Hub,Product Catalog Management Learning Block 1,2.0
Product Catalog Management Learning Hub;Product Catalog Management Learning Block 4;3.0,Product Catalog Management Learning Hub,Product Catalog Management Learning Block 4,3.0
Salesforce Contracts Right Section;Salesforce Contracts Learning Hub Block 1;1.0,Salesforce Contracts Right Section,Salesforce Contracts Learning Hub Block 1,1.0
Salesforce Contracts Right Section;Salesforce Contracts Learning Hub Block 2;2.0,Salesforce Contracts Right Section,Salesforce Contracts Learning Hub Block 2,2.0
Salesforce Contracts Right Section;Salesforce Contracts Learning Block 3;3.0,Salesforce Contracts Right Section,Salesforce Contracts Learning Block 3,3.0
DRO Right Section;DRO Learning Block 1;1.0,DRO Right Section,DRO Learning Block 1,1.0
DRO Right Section;DRO Learning Block 2;2.0,DRO Right Section,DRO Learning Block 2,2.0
DRO Right Section;DRO Learning Block 3;3.0,DRO Right Section,DRO Learning Block 3,3.0
Transaction Management Right Section;Transaction Management Learning Block 1;1.0,Transaction Management Right Section,Transaction Management Learning Block 1,1.0
Transaction Management Right Section;Transaction Management Learning Block 2;2.0,Transaction Management Right Section,Transaction Management Learning Block 2,2.0
Transaction Management Right Section;Transaction Management Learning Hub Block 3;3.0,Transaction Management Right Section,Transaction Management Learning Hub Block 3,3.0
Price Management Right Section;Price Management Learning Block 2;1.0,Price Management Right Section,Price Management Learning Block 2,1.0
Price Management Right Section;Price Management Learning Block 1;2.0,Price Management Right Section,Price Management Learning Block 1,2.0
Price Management Right Section;Price Management Learning Hub Block 3;3.0,Price Management Right Section,Price Management Learning Hub Block 3,3.0
