$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;WTR-BRUSH-FIL;WTR-DUO-END-BDL;WTR-PCG-BRUSHES-BDL;Bundle to Bundle Component Relationship,WTR-BRUSH-FIL,,BundleComponent,,false,false,false,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-BRUSHES-BDL,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-SQ-REAR-NR;WTR-DUO-END-BDL;WTR-PCG-SQUEEGEES-BDL;Bundle to Bundle Component Relationship,WTR-SQ-REAR-NR,,BundleComponent,,false,false,true,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-SQUEEGEES-BDL,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-SQ-FRONT-NR;WTR-DUO-END-BDL;WTR-PCG-SQUEEGEES-BDL;Bundle to Bundle Component Relationship,WTR-SQ-FRONT-NR,,BundleComponent,,false,false,true,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-SQUEEGEES-BDL,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-SQ-REAR-PUR;WTR-DUO-END-BDL;WTR-PCG-SQUEEGEES-BDL;Bundle to Bundle Component Relationship,WTR-SQ-REAR-PUR,,BundleComponent,,false,false,false,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-SQUEEGEES-BDL,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-SQ-FRONT-PUR;WTR-DUO-END-BDL;WTR-PCG-SQUEEGEES-BDL;Bundle to Bundle Component Relationship,WTR-SQ-FRONT-PUR,,BundleComponent,,false,false,false,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-SQUEEGEES-BDL,Bundle to Bundle Component Relationship,1,,Always,40,
;WTR-SQ-FRONT-PUR-R;WTR-DUO-END-BDL;WTR-PCG-SQUEEGEES-BDL;Bundle to Bundle Component Relationship,WTR-SQ-FRONT-PUR-R,,BundleComponent,,false,false,false,true,2,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-SQUEEGEES-BDL,Bundle to Bundle Component Relationship,1,,Always,50,
;WTR-ACC-HOSE;WTR-DUO-END-BDL;WTR-PCG-ACCESSORIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-HOSE,,BundleComponent,,false,false,false,true,1,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-ACCESSORIES-BDL,Bundle to Bundle Component Relationship,1,,Always,10,
;WTR-ACC-TANK;WTR-DUO-END-BDL;WTR-PCG-ACCESSORIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-TANK,,BundleComponent,,false,false,false,true,5,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-ACCESSORIES-BDL,Bundle to Bundle Component Relationship,1,,Always,20,
;WTR-ACC-PLATFORM;WTR-DUO-END-BDL;WTR-PCG-ACCESSORIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-PLATFORM,,BundleComponent,,false,false,false,true,1,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-ACCESSORIES-BDL,Bundle to Bundle Component Relationship,1,,Always,30,
;WTR-ACC-HOLDER;WTR-DUO-END-BDL;WTR-PCG-ACCESSORIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-HOLDER,,BundleComponent,,false,false,false,true,1,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-ACCESSORIES-BDL,Bundle to Bundle Component Relationship,1,,Always,40,
;WTR-ACC-BALIT;WTR-DUO-END-BDL;WTR-PCG-ACCESSORIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-BALIT,,BundleComponent,,false,false,false,true,1,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-ACCESSORIES-BDL,Bundle to Bundle Component Relationship,1,,Always,50,
;WTR-ACC-TELESCOP;WTR-DUO-END-BDL;WTR-PCG-ACCESSORIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-TELESCOP,,BundleComponent,,false,false,false,true,1,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-ACCESSORIES-BDL,Bundle to Bundle Component Relationship,1,,Always,60,
;WTR-ACC-KIT;WTR-DUO-END-BDL;WTR-PCG-ACCESSORIES-BDL;Bundle to Bundle Component Relationship,WTR-ACC-KIT,,BundleComponent,,false,false,false,true,1,1,WTR-DUO-END-BDL,Bundle,,WTR-PCG-ACCESSORIES-BDL,Bundle to Bundle Component Relationship,1,,Always,70,
