$$Product.StockKeepingUnit$RateCardEntry.RateCard.Name$RateUnitOfMeasure.UnitCode$UsageResource.Code$LowerBound$UpperBound,AdjustmentType,AdjustmentValue,EffectiveFrom,EffectiveTo,LowerBound,Product.StockKeepingUnit,ProductSellingModel.Name,RateCardEntry.$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Code$RateUnitOfMeasure.UnitCode,RateCardEntryStatus,RateUnitOfMeasure.Name,RateUnitOfMeasureName,UpperBound,UsageResource.Name
QB-CMT-TKN-EACH;Tier Rate Card;AUD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;AUD,Active,AUD,AUD,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;CAD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;CAD,Active,CAD,CAD,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;CHF;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;CHF,Active,CHF,CHF,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;EUR;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;EUR,Active,EUR,EUR,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;GBP;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;GBP,Active,GBP,GBP,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;JPY;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;JPY,Active,JPY,JPY,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;TOKEN-UOM;QB-TOKEN;0;,Percentage,6,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Active,Tokens,Tokens,,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;TOKEN-UOM;UR-CPUTIME-TKN;0;,Percentage,5,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Active,Tokens,Tokens,,Compute Time (Token)
QB-CMT-TKN-EACH;Tier Rate Card;TOKEN-UOM;UR-DATASTORAGE-TKN;0;,Percentage,4,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Active,Tokens,Tokens,,Data Storage (Token)
QB-CMT-TKN-EACH;Tier Rate Card;USD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-EACH,Term Annual,QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;USD,Active,USD,USD,,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;AUD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;AUD,Active,AUD,AUD,,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;CAD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;CAD,Active,CAD,CAD,,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;CHF;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;CHF,Active,CHF,CHF,,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;EUR;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;EUR,Active,EUR,EUR,,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;GBP;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;GBP,Active,GBP,GBP,,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;JPY;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;JPY,Active,JPY,JPY,,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;TOKEN-UOM;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Active,Tokens,Tokens,,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;TOKEN-UOM;UR-CPUTIME-TKN;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Active,Tokens,Tokens,,Compute Time (Token)
QB-CMT-TKN-FLAT;Tier Rate Card;TOKEN-UOM;UR-DATASTORAGE-TKN;0;,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Active,Tokens,Tokens,,Data Storage (Token)
QB-CMT-TKN-FLAT;Tier Rate Card;USD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-FLAT,Term Annual,QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;USD,Active,USD,USD,,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;AUD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;AUD,Active,AUD,AUD,,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;CAD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;CAD,Active,CAD,CAD,,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;CHF;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;CHF,Active,CHF,CHF,,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;EUR;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;EUR,Active,EUR,EUR,,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;GBP;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;GBP,Active,GBP,GBP,,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;JPY;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;JPY,Active,JPY,JPY,,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;TOKEN-UOM;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Active,Tokens,Tokens,,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;TOKEN-UOM;UR-CPUTIME-TKN;0;10000,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Active,Tokens,Tokens,10000,Compute Time (Token)
QB-CMT-TKN-TIER;Tier Rate Card;TOKEN-UOM;UR-CPUTIME-TKN;10000;25000,Percentage,20,2023-01-01T20:00:00.000+0000,,10000,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Active,Tokens,Tokens,25000,Compute Time (Token)
QB-CMT-TKN-TIER;Tier Rate Card;TOKEN-UOM;UR-CPUTIME-TKN;25000;,Percentage,30,2023-01-01T20:00:00.000+0000,,25000,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Active,Tokens,Tokens,,Compute Time (Token)
QB-CMT-TKN-TIER;Tier Rate Card;TOKEN-UOM;UR-DATASTORAGE-TKN;0;10000,Percentage,10,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Active,Tokens,Tokens,10000,Data Storage (Token)
QB-CMT-TKN-TIER;Tier Rate Card;TOKEN-UOM;UR-DATASTORAGE-TKN;10000;25000,Percentage,20,2023-01-01T20:00:00.000+0000,,10000,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Active,Tokens,Tokens,25000,Data Storage (Token)
QB-CMT-TKN-TIER;Tier Rate Card;TOKEN-UOM;UR-DATASTORAGE-TKN;25000;,Percentage,30,2023-01-01T20:00:00.000+0000,,25000,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Active,Tokens,Tokens,,Data Storage (Token)
QB-CMT-TKN-TIER;Tier Rate Card;USD;QB-TOKEN;0;,Percentage,0,2023-01-01T20:00:00.000+0000,,0,QB-CMT-TKN-TIER,Term Annual,QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;USD,Active,USD,USD,,Quantum Tokens
QB-DB;Tier Rate Card;AUD;UR-CPUTIME;1000;3000,Override,0.0064,2023-01-01T20:00:00.000+0000,,1000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;AUD,Active,AUD,AUD,3000,Compute Time
QB-DB;Tier Rate Card;AUD;UR-CPUTIME;1;1000,Override,0.0057,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;AUD,Active,AUD,AUD,1000,Compute Time
QB-DB;Tier Rate Card;AUD;UR-CPUTIME;3000;6000,Override,0.0072,2023-01-01T20:00:00.000+0000,,3000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;AUD,Active,AUD,AUD,6000,Compute Time
QB-DB;Tier Rate Card;AUD;UR-CPUTIME;6000;999999999,Override,0.0086,2023-01-01T20:00:00.000+0000,,6000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;AUD,Active,AUD,AUD,999999999,Compute Time
QB-DB;Tier Rate Card;AUD;UR-DATASTORAGE;100;999999999,Override,25.74,2023-01-01T20:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;AUD,Active,AUD,AUD,999999999,Data Storage
QB-DB;Tier Rate Card;AUD;UR-DATASTORAGE;10;25,Override,17.88,2023-01-01T20:00:00.000+0000,,10,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;AUD,Active,AUD,AUD,25,Data Storage
QB-DB;Tier Rate Card;AUD;UR-DATASTORAGE;1;10,Percentage,0,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;AUD,Active,AUD,AUD,10,Data Storage
QB-DB;Tier Rate Card;AUD;UR-DATASTORAGE;25;100,Override,21.45,2023-01-01T20:00:00.000+0000,,25,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;AUD,Active,AUD,AUD,100,Data Storage
QB-DB;Tier Rate Card;CAD;UR-CPUTIME;1000;3000,Override,0.0063,2023-01-01T20:00:00.000+0000,,1000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;CAD,Active,CAD,CAD,3000,Compute Time
QB-DB;Tier Rate Card;CAD;UR-CPUTIME;1;1000,Override,0.0056,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;CAD,Active,CAD,CAD,1000,Compute Time
QB-DB;Tier Rate Card;CAD;UR-CPUTIME;3000;6000,Override,0.007,2023-01-01T20:00:00.000+0000,,3000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;CAD,Active,CAD,CAD,6000,Compute Time
QB-DB;Tier Rate Card;CAD;UR-CPUTIME;6000;999999999,Override,0.0085,2023-01-01T20:00:00.000+0000,,6000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;CAD,Active,CAD,CAD,999999999,Compute Time
QB-DB;Tier Rate Card;CAD;UR-DATASTORAGE;100;999999999,Override,25.36,2023-01-01T20:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;CAD,Active,CAD,CAD,999999999,Data Storage
QB-DB;Tier Rate Card;CAD;UR-DATASTORAGE;10;25,Override,17.61,2023-01-01T20:00:00.000+0000,,10,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;CAD,Active,CAD,CAD,25,Data Storage
QB-DB;Tier Rate Card;CAD;UR-DATASTORAGE;1;10,Percentage,0,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;CAD,Active,CAD,CAD,10,Data Storage
QB-DB;Tier Rate Card;CAD;UR-DATASTORAGE;25;100,Override,21.13,2023-01-01T20:00:00.000+0000,,25,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;CAD,Active,CAD,CAD,100,Data Storage
QB-DB;Tier Rate Card;CHF;UR-CPUTIME;1000;3000,Override,0.0037,2023-01-01T20:00:00.000+0000,,1000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;CHF,Active,CHF,CHF,3000,Compute Time
QB-DB;Tier Rate Card;CHF;UR-CPUTIME;1;1000,Override,0.0033,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;CHF,Active,CHF,CHF,1000,Compute Time
QB-DB;Tier Rate Card;CHF;UR-CPUTIME;3000;6000,Override,0.0041,2023-01-01T20:00:00.000+0000,,3000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;CHF,Active,CHF,CHF,6000,Compute Time
QB-DB;Tier Rate Card;CHF;UR-CPUTIME;6000;999999999,Override,0.0049,2023-01-01T20:00:00.000+0000,,6000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;CHF,Active,CHF,CHF,999999999,Compute Time
QB-DB;Tier Rate Card;CHF;UR-DATASTORAGE;100;999999999,Override,14.65,2023-01-01T20:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;CHF,Active,CHF,CHF,999999999,Data Storage
QB-DB;Tier Rate Card;CHF;UR-DATASTORAGE;10;25,Override,10.17,2023-01-01T20:00:00.000+0000,,10,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;CHF,Active,CHF,CHF,25,Data Storage
QB-DB;Tier Rate Card;CHF;UR-DATASTORAGE;1;10,Percentage,0,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;CHF,Active,CHF,CHF,10,Data Storage
QB-DB;Tier Rate Card;CHF;UR-DATASTORAGE;25;100,Override,12.21,2023-01-01T20:00:00.000+0000,,25,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;CHF,Active,CHF,CHF,100,Data Storage
QB-DB;Tier Rate Card;EUR;UR-CPUTIME;1000;3000,Override,0.0039,2023-01-01T20:00:00.000+0000,,1000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;EUR,Active,EUR,EUR,3000,Compute Time
QB-DB;Tier Rate Card;EUR;UR-CPUTIME;1;1000,Override,0.0035,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;EUR,Active,EUR,EUR,1000,Compute Time
QB-DB;Tier Rate Card;EUR;UR-CPUTIME;3000;6000,Override,0.0044,2023-01-01T20:00:00.000+0000,,3000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;EUR,Active,EUR,EUR,6000,Compute Time
QB-DB;Tier Rate Card;EUR;UR-CPUTIME;6000;999999999,Override,0.0053,2023-01-01T20:00:00.000+0000,,6000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;EUR,Active,EUR,EUR,999999999,Compute Time
QB-DB;Tier Rate Card;EUR;UR-DATASTORAGE;100;999999999,Override,15.77,2023-01-01T20:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;EUR,Active,EUR,EUR,999999999,Data Storage
QB-DB;Tier Rate Card;EUR;UR-DATASTORAGE;10;25,Override,10.95,2023-01-01T20:00:00.000+0000,,10,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;EUR,Active,EUR,EUR,25,Data Storage
QB-DB;Tier Rate Card;EUR;UR-DATASTORAGE;1;10,Percentage,0,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;EUR,Active,EUR,EUR,10,Data Storage
QB-DB;Tier Rate Card;EUR;UR-DATASTORAGE;25;100,Override,13.15,2023-01-01T20:00:00.000+0000,,25,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;EUR,Active,EUR,EUR,100,Data Storage
QB-DB;Tier Rate Card;GBP;UR-CPUTIME;1000;3000,Override,0.0034,2023-01-01T20:00:00.000+0000,,1000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;GBP,Active,GBP,GBP,3000,Compute Time
QB-DB;Tier Rate Card;GBP;UR-CPUTIME;1;1000,Override,0.003,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;GBP,Active,GBP,GBP,1000,Compute Time
QB-DB;Tier Rate Card;GBP;UR-CPUTIME;3000;6000,Override,0.0037,2023-01-01T20:00:00.000+0000,,3000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;GBP,Active,GBP,GBP,6000,Compute Time
QB-DB;Tier Rate Card;GBP;UR-CPUTIME;6000;999999999,Override,0.0045,2023-01-01T20:00:00.000+0000,,6000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;GBP,Active,GBP,GBP,999999999,Compute Time
QB-DB;Tier Rate Card;GBP;UR-DATASTORAGE;100;999999999,Override,13.46,2023-01-01T20:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;GBP,Active,GBP,GBP,999999999,Data Storage
QB-DB;Tier Rate Card;GBP;UR-DATASTORAGE;10;25,Override,9.35,2023-01-01T20:00:00.000+0000,,10,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;GBP,Active,GBP,GBP,25,Data Storage
QB-DB;Tier Rate Card;GBP;UR-DATASTORAGE;1;10,Percentage,0,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;GBP,Active,GBP,GBP,10,Data Storage
QB-DB;Tier Rate Card;GBP;UR-DATASTORAGE;25;100,Override,11.22,2023-01-01T20:00:00.000+0000,,25,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;GBP,Active,GBP,GBP,100,Data Storage
QB-DB;Tier Rate Card;JPY;UR-CPUTIME;1000;3000,Override,0.73,2023-01-01T20:00:00.000+0000,,1000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;JPY,Active,JPY,JPY,3000,Compute Time
QB-DB;Tier Rate Card;JPY;UR-CPUTIME;1;1000,Override,0.65,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;JPY,Active,JPY,JPY,1000,Compute Time
QB-DB;Tier Rate Card;JPY;UR-CPUTIME;3000;6000,Override,0.82,2023-01-01T20:00:00.000+0000,,3000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;JPY,Active,JPY,JPY,6000,Compute Time
QB-DB;Tier Rate Card;JPY;UR-CPUTIME;6000;999999999,Override,0.98,2023-01-01T20:00:00.000+0000,,6000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;JPY,Active,JPY,JPY,999999999,Compute Time
QB-DB;Tier Rate Card;JPY;UR-DATASTORAGE;100;999999999,Override,2936,2023-01-01T20:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;JPY,Active,JPY,JPY,999999999,Data Storage
QB-DB;Tier Rate Card;JPY;UR-DATASTORAGE;10;25,Override,2039,2023-01-01T20:00:00.000+0000,,10,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;JPY,Active,JPY,JPY,25,Data Storage
QB-DB;Tier Rate Card;JPY;UR-DATASTORAGE;1;10,Percentage,0,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;JPY,Active,JPY,JPY,10,Data Storage
QB-DB;Tier Rate Card;JPY;UR-DATASTORAGE;25;100,Override,2446,2023-01-01T20:00:00.000+0000,,25,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;JPY,Active,JPY,JPY,100,Data Storage
QB-DB;Tier Rate Card;USD;UR-CPUTIME;1000;3000,Override,0.0045,2023-01-01T20:00:00.000+0000,,1000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;USD,Active,USD,USD,3000,Compute Time
QB-DB;Tier Rate Card;USD;UR-CPUTIME;1;1000,Override,0.004,2023-01-01T20:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;USD,Active,USD,USD,1000,Compute Time
QB-DB;Tier Rate Card;USD;UR-CPUTIME;3000;6000,Override,0.005,2023-01-01T20:00:00.000+0000,,3000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;USD,Active,USD,USD,6000,Compute Time
QB-DB;Tier Rate Card;USD;UR-CPUTIME;6000;999999999,Override,0.006,2023-01-01T20:00:00.000+0000,,6000,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-CPUTIME;USD,Active,USD,USD,999999999,Compute Time
QB-DB;Tier Rate Card;USD;UR-DATASTORAGE;100;999999999,Override,18,2023-01-01T20:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;UR-DATASTORAGE;USD,Active,USD,USD,999999999,Data Storage
