$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Code$RateUnitOfMeasure.UnitCode,DefaultUnitOfMeasure.Name,DefaultUnitOfMeasureClass.Name,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit,ProductSellingModel.Name,Rate,RateCard.$$Name$Type,RateNegotiation,RateUnitOfMeasure.Name,RateUnitOfMeasure.UnitCode,RateUnitOfMeasureClass.Name,Status,UsageResource.Code,UsageResource.Name
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;AUD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,AUD,AUD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;CAD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,CAD,CAD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;CHF,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,CHF,CHF,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;EUR,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,EUR,EUR,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;GBP,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,GBP,GBP,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;JPY,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,JPY,JPY,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;QB-TOKEN;USD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-EACH;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-CPUTIME-TKN,Compute Time (Token)
QB-CMT-TKN-EACH;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-EACH,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-DATASTORAGE-TKN,Data Storage (Token)
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;AUD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,AUD,AUD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;CAD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,CAD,CAD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;CHF,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,CHF,CHF,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;EUR,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,EUR,EUR,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;GBP,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,GBP,GBP,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;JPY,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,JPY,JPY,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;QB-TOKEN;USD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-FLAT;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-CPUTIME-TKN,Compute Time (Token)
QB-CMT-TKN-FLAT;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-FLAT,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-DATASTORAGE-TKN,Data Storage (Token)
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;AUD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,AUD,AUD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;CAD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,CAD,CAD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;CHF,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,CHF,CHF,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;EUR,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,EUR,EUR,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;GBP,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,GBP,GBP,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;JPY,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,JPY,JPY,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;TOKEN-UOM,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;QB-TOKEN;USD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-CMT-TKN-TIER;Tier Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-CPUTIME-TKN,Compute Time (Token)
QB-CMT-TKN-TIER;Tier Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-CMT-TKN-TIER,Term Annual,,Tier Rate Card;Tier,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-DATASTORAGE-TKN,Data Storage (Token)
QB-DAT-THPT;Base Rate Card;UR-DATAXFR;AUD,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DAT-THPT,Term Annual,0.143,Base Rate Card;Base,Negotiable,AUD,AUD,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DAT-THPT;Base Rate Card;UR-DATAXFR;CAD,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DAT-THPT,Term Annual,0.1409,Base Rate Card;Base,Negotiable,CAD,CAD,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DAT-THPT;Base Rate Card;UR-DATAXFR;CHF,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DAT-THPT,Term Annual,0.0814,Base Rate Card;Base,Negotiable,CHF,CHF,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DAT-THPT;Base Rate Card;UR-DATAXFR;EUR,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DAT-THPT,Term Annual,0.0876,Base Rate Card;Base,Negotiable,EUR,EUR,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DAT-THPT;Base Rate Card;UR-DATAXFR;GBP,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DAT-THPT,Term Annual,0.0748,Base Rate Card;Base,Negotiable,GBP,GBP,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DAT-THPT;Base Rate Card;UR-DATAXFR;JPY,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DAT-THPT,Term Annual,16,Base Rate Card;Base,Negotiable,JPY,JPY,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DAT-THPT;Base Rate Card;UR-DATAXFR;USD,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DAT-THPT,Term Annual,0.10,Base Rate Card;Base,Negotiable,USD,USD,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DB-TOKEN;Base Rate Card;QB-TOKEN;AUD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,0.7151,Base Rate Card;Base,Negotiable,AUD,AUD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-DB-TOKEN;Base Rate Card;QB-TOKEN;CAD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,0.7045,Base Rate Card;Base,Negotiable,CAD,CAD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-DB-TOKEN;Base Rate Card;QB-TOKEN;CHF,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,0.4069,Base Rate Card;Base,Negotiable,CHF,CHF,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-DB-TOKEN;Base Rate Card;QB-TOKEN;EUR,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,0.4382,Base Rate Card;Base,Negotiable,EUR,EUR,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-DB-TOKEN;Base Rate Card;QB-TOKEN;GBP,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,0.3739,Base Rate Card;Base,Negotiable,GBP,GBP,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-DB-TOKEN;Base Rate Card;QB-TOKEN;JPY,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,82,Base Rate Card;Base,Negotiable,JPY,JPY,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-DB-TOKEN;Base Rate Card;QB-TOKEN;USD,Tokens,Tokens UoM Class,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,0.5,Base Rate Card;Base,Negotiable,USD,USD,Currency,Draft,QB-TOKEN,Quantum Tokens
QB-DB-TOKEN;Base Rate Card;UR-CPUTIME-TKN;TOKEN-UOM,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,5,Base Rate Card;Base,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-CPUTIME-TKN,Compute Time (Token)
QB-DB-TOKEN;Base Rate Card;UR-DATASTORAGE-TKN;TOKEN-UOM,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB-TOKEN,Term Annual,10,Base Rate Card;Base,Negotiable,Tokens,TOKEN-UOM,Tokens UoM Class,Draft,UR-DATASTORAGE-TKN,Data Storage (Token)
QB-DB;Base Rate Card;UR-CPUTIME;AUD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.0057,Base Rate Card;Base,Negotiable,AUD,AUD,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Base Rate Card;UR-CPUTIME;CAD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.0056,Base Rate Card;Base,Negotiable,CAD,CAD,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Base Rate Card;UR-CPUTIME;CHF,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.0033,Base Rate Card;Base,Negotiable,CHF,CHF,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Base Rate Card;UR-CPUTIME;EUR,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.0035,Base Rate Card;Base,Negotiable,EUR,EUR,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Base Rate Card;UR-CPUTIME;GBP,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.003,Base Rate Card;Base,Negotiable,GBP,GBP,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Base Rate Card;UR-CPUTIME;JPY,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.65,Base Rate Card;Base,Negotiable,JPY,JPY,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Base Rate Card;UR-CPUTIME;USD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.004,Base Rate Card;Base,Negotiable,USD,USD,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Base Rate Card;UR-DATASTORAGE;AUD,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,14.3,Base Rate Card;Base,Negotiable,AUD,AUD,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Base Rate Card;UR-DATASTORAGE;CAD,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,14.09,Base Rate Card;Base,Negotiable,CAD,CAD,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Base Rate Card;UR-DATASTORAGE;CHF,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,8.14,Base Rate Card;Base,Negotiable,CHF,CHF,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Base Rate Card;UR-DATASTORAGE;EUR,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,8.76,Base Rate Card;Base,Negotiable,EUR,EUR,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Base Rate Card;UR-DATASTORAGE;GBP,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,7.48,Base Rate Card;Base,Negotiable,GBP,GBP,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Base Rate Card;UR-DATASTORAGE;JPY,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,1631,Base Rate Card;Base,Negotiable,JPY,JPY,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Base Rate Card;UR-DATASTORAGE;USD,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,10,Base Rate Card;Base,Negotiable,USD,USD,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Base Rate Card;UR-DATAXFR;AUD,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.143,Base Rate Card;Base,Negotiable,AUD,AUD,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DB;Base Rate Card;UR-DATAXFR;CAD,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.1409,Base Rate Card;Base,Negotiable,CAD,CAD,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DB;Base Rate Card;UR-DATAXFR;CHF,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.0814,Base Rate Card;Base,Negotiable,CHF,CHF,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DB;Base Rate Card;UR-DATAXFR;EUR,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.0876,Base Rate Card;Base,Negotiable,EUR,EUR,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DB;Base Rate Card;UR-DATAXFR;GBP,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.0748,Base Rate Card;Base,Negotiable,GBP,GBP,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DB;Base Rate Card;UR-DATAXFR;JPY,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,16,Base Rate Card;Base,Negotiable,JPY,JPY,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DB;Base Rate Card;UR-DATAXFR;USD,Gigabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,0.10,Base Rate Card;Base,Negotiable,USD,USD,Currency,Draft,UR-DATAXFR,Data Throughput
QB-DB;Tier Rate Card;UR-CPUTIME;AUD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,AUD,AUD,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Tier Rate Card;UR-CPUTIME;CAD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,CAD,CAD,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Tier Rate Card;UR-CPUTIME;CHF,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,CHF,CHF,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Tier Rate Card;UR-CPUTIME;EUR,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,EUR,EUR,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Tier Rate Card;UR-CPUTIME;GBP,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,GBP,GBP,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Tier Rate Card;UR-CPUTIME;JPY,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,JPY,JPY,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Tier Rate Card;UR-CPUTIME;USD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,UR-CPUTIME,Compute Time
QB-DB;Tier Rate Card;UR-DATASTORAGE;AUD,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,AUD,AUD,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Tier Rate Card;UR-DATASTORAGE;CAD,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,CAD,CAD,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Tier Rate Card;UR-DATASTORAGE;CHF,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,CHF,CHF,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Tier Rate Card;UR-DATASTORAGE;EUR,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,EUR,EUR,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Tier Rate Card;UR-DATASTORAGE;GBP,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,GBP,GBP,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Tier Rate Card;UR-DATASTORAGE;JPY,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,JPY,JPY,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-DB;Tier Rate Card;UR-DATASTORAGE;USD,Terabyte,Data Volume,2023-01-01T20:00:00.000+0000,,QB-DB,Term Annual,,Tier Rate Card;Tier,Negotiable,USD,USD,Currency,Draft,UR-DATASTORAGE,Data Storage
QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;AUD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-MTY-CMT,Term Annual,,Tier Rate Card;Tier,Negotiable,AUD,AUD,Currency,Draft,UR-CPUTIME,Compute Time
QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;CAD,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-MTY-CMT,Term Annual,,Tier Rate Card;Tier,Negotiable,CAD,CAD,Currency,Draft,UR-CPUTIME,Compute Time
QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;CHF,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-MTY-CMT,Term Annual,,Tier Rate Card;Tier,Negotiable,CHF,CHF,Currency,Draft,UR-CPUTIME,Compute Time
QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;EUR,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-MTY-CMT,Term Annual,,Tier Rate Card;Tier,Negotiable,EUR,EUR,Currency,Draft,UR-CPUTIME,Compute Time
QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;GBP,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-MTY-CMT,Term Annual,,Tier Rate Card;Tier,Negotiable,GBP,GBP,Currency,Draft,UR-CPUTIME,Compute Time
QB-MTY-CMT;Tier Rate Card;UR-CPUTIME;JPY,Minutes,Time,2023-01-01T20:00:00.000+0000,,QB-MTY-CMT,Term Annual,,Tier Rate Card;Tier,Negotiable,JPY,JPY,Currency,Draft,UR-CPUTIME,Compute Time
