Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.Code,ParentProduct.StockKeepingUnit,Sequence
PCG-PROD-1878093187-STD,,,,Standard Components,,PROD-1878093187,1
PCG-PROD-1897393325-STD,,,,Standard Components,,PROD-1897393325,1
PCG-PROD-1939884557-STD,,,,Standard Components,,PROD-1939884557,1
PCG-PROD-1941355444-STD,,,,Standard Components,,PROD-1941355444,1
PCG-PROD-1977133047-STD,,,,Standard Components,,PROD-1977133047,1
PCG-PROD-2003786421-STD,,,,Standard Components,,PROD-2003786421,1
PCG-PROD-2004313496-STD,,,,Standard Components,,PROD-2004313496,1
PCG-PROD-2035320005-STD,,,,Standard Components,,PROD-2035320005,1
PCG-PROD-2059567741-STD,,,,Standard Components,,PROD-2059567741,1
PCG-PROD-2063526037-STD,,,,Standard Components,,PROD-2063526037,1
PCG-PROD-2116311267-STD,,,,Standard Components,,PROD-2116311267,1
PCG-PROD-279707357-STD,,,,Standard Components,,PROD-279707357,1
PCG-PROD-322363365-STD,,,,Standard Components,,PROD-322363365,1
PCG-PROD-356310368-STD,,,,Standard Components,,PROD-356310368,1
PCG-PROD-384361183-STD,,,,Standard Components,,PROD-384361183,1
PCG-PROD-387008033-STD,,,,Standard Components,,PROD-387008033,1
PCG-PROD-409095263-STD,,,,Standard Components,,PROD-409095263,1
PCG-PROD-416568204-STD,,,,Standard Components,,PROD-416568204,1
PCG-PROD-455868158-STD,,,,Standard Components,,PROD-455868158,1
PCG-PROD-462218852-STD,,,,Standard Components,,PROD-462218852,1
PCG-PROD-498531761-STD,,,,Standard Components,,PROD-498531761,1
PCG-PROD-518530525-STD,,,,Standard Components,,PROD-518530525,1
PCG-PROD-518677116-STD,,,,Standard Components,,PROD-518677116,1
PCG-PROD-544673184-STD,,,,Standard Components,,PROD-544673184,1
PCG-PROD-545409999-STD,,,,Standard Components,,PROD-545409999,1
PCG-PROD-597705628-STD,,,,Standard Components,,PROD-597705628,1
PCG-PROD-604480020-STD,,,,Standard Components,,PROD-604480020,1
PCG-PROD-630065671-STD,,,,Standard Components,,PROD-630065671,1
PCG-PROD-630070740-STD,,,,Standard Components,,PROD-630070740,1
PCG-PROD-6630506-STD,,,,Standard Components,,PROD-6630506,1
PCG-PROD-670848332-STD,,,,Standard Components,,PROD-670848332,1
PCG-PROD-683520187-STD,,,,Standard Components,,PROD-683520187,1
PCG-PROD-689623762-STD,,,,Standard Components,,PROD-689623762,1
PCG-PROD-697645794-STD,,,,Standard Components,,PROD-697645794,1
PCG-PROD-755090702-STD,,,,Standard Components,,PROD-755090702,1
PCG-PROD-77740090-STD,,,,Standard Components,,PROD-77740090,1
PCG-PROD-781554326-STD,,,,Standard Components,,PROD-781554326,1
PCG-PROD-789058761-STD,,,,Standard Components,,PROD-789058761,1
PCG-PROD-799314932-STD,,,,Standard Components,,PROD-799314932,1
PCG-PROD-828674135-STD,,,,Standard Components,,PROD-828674135,1
PCG-PROD-860612882-STD,,,,Standard Components,,PROD-860612882,1
PCG-PROD-86201530-STD,,,,Standard Components,,PROD-86201530,1
PCG-PROD-950775878-STD,,,,Standard Components,,PROD-950775878,1
PCG-PROD-990828007-STD,,,,Standard Components,,PROD-990828007,1
